CODI;NOM_OFICIAL
094605;Carrer del Pedró de la Creu
094707;Carrer de la Creu dels Molers
094809;Carrer de la Creu Coberta
094900;Carrer de Simancas
095007;Carrer dels Quatre Camins
095109;Carrer de Cuba
095200;Carrer de Cubelles
095302;Carrer de Cucurulla
095404;Plaça de Cucurulla
095506;Carrer de Conca
095608;Carrer de la Costa
095700;Passatge de la Costa del Putxet
095721;Costa de les Perdius
095732;Costa del Bruc
095801;Carrer dels Pellaires
096000;Carrer de Cuyàs
096021;Carrer de Cusco
096101;Carrer de Las Chafarinas
096203;Carrer de Chapí
096305;Passatge de Chapí
096407;Avinguda de Xile
096509;Passatge de Xile
096600;Carrer de Xipre
096702;Carrer de Chopin
096780;Carrer D Zona Franca
096804;Carrer de la Dagueria
096906;Carrer de la Dàlia
097002;Carrer de Dalmàcia
097104;Carrer de Dalmau de Creixell
097206;Carrer de Vallès i Ribot
097308;Carrer de Dalmases
097400;Carrer de Dalmau
097501;Carrer de les Dames
097603;Carrer de Damià Forment
097705;Plaça de Dante
097807;Carrer de Dante Alighieri
097829;Carrer del Danubi
097909;Carrer de la Dansa
098005;Carrer de Daoíz i Velarde
098107;Carrer de Darnius
098151;Carrer de Das
098209;Carrer del Degà Bahí
098300;Carrer de Josep M. Sert
098402;Carrer de Degollada
098606;Carrer de Demestre
098708;Carrer de Demòstenes
098800;Carrer de Dénia
098854;Carrer dels Esports
098901;Passatge del Dipòsit
099008;Carrer del Descans
099100;Carrer de Descartes
099303;Carrer de Desfar
099405;Carrer del Desert
099507;Carrer dels Paletes
099904;Carrer de Rere Palau
100005;Carrer de Rere Sant Just
100107;Carrer de Deu i Mata
100173;Davallada de Gallecs
100209;Carrer de Deià
100300;Plaça del Diamant
100402;Carrer de Diana
100504;Carrer d'Apel·les Mestres
100559;Carrer de les Diligències
100606;Carrer del Diluvi
100708;Carrer d'Arístides Maillol
100800;Carrer de la Diputació
100854;Passatge de l'Anemone
100901;Carrer de Carrasco i Formiguera
101008;Avinguda del Tibidabo
101100;Carrer del Doctor Balari i Jovany
101201;Carrer del Doctor Bové
101303;Carrer del Doctor Cadevall
101405;Carrer del Doctor Carulla
101507;Carrer del Doctor Coll
101609;Carrer del Doctor Dou
101642;Carrer del Doctor Farreras i Valentí
101700;Carrer del Doctor Ferran
101802;Jardins del Doctor Duran i Reynals
101904;Carrer del Doctor Fleming
101959;Carrer de la Perera
101981;Jardins del Doctor Fleming
102055;Carrer del Doctor Francesc Darder
102102;Carrer del Doctor Giné i Partagàs
102306;Avinguda del Doctor Marañón
102408;Carrer del Doctor Ibáñez
102452;Plaça del Doctor Ignasi Barraquer
102500;Carrer del Doctor Joaquín Albarrán
102601;Carrer del Doctor Joaquim Pou
102623;Jardins de Josep Trueta
102703;Carrer del Doctor Letamendi
102805;Plaça del Doctor Letamendi
102850;Carrer del Lilà
102907;Plaça del Doctor Modrego
102951;Carrer del Doctor Nubiola i Espinós
103003;Carrer del Doctor Pi i Molist
103105;Passatge del Doctor Pi i Molist
103309;Carrer del Doctor Ribas i Perdigó
103400;Carrer del Doctor Rizal
103502;Carrer del Doctor Roux
103604;Carrer del Doctor Salvador Cardenal
103706;Carrer del Doctor Santponç
103808;Plaça del Doctor Serrat
103900;Passatge del Doctor Torent
104006;Passatge del Doctor Torres
104108;Carrer del Doctor Valls
104200;Carrer del Doctor Zamenhof
104301;Carrer de Dolors Monserdà
104403;Carrer de Domènech
104458;Carrer de Domènech i Montaner
104505;Passatge de Domingo
104607;Carrer de Domínguez i Miralles
104709;Carrer dels Dominics
104855;Passatge del Magraner
105100;Passatge del Dormitori de Sant Francesc
105202;Jardins de Dorotea Chopitea
105304;Carrer del Dos de Maig
105406;Passatge del Dos de Maig
105508;Carrer de Dosrius
105552;Carrer del Dragó
105701;Carrer de Dublín
105803;Plaça del Dubte
105905;Carrer del Duero
106001;Carrer de Dulcet
106103;Plaça de Sarrià
106205;Plaça del Duc de Medinaceli
106307;Carrer del Duc de Rivas
106409;Carrer del Duc
106500;Carrer de Francesc Pujols
106602;Carrer de la Duquessa d'Orleans
106704;Carrer de Duran i Bas
106806;Carrer de Duran i Borrell
106861;Carrer E Zona Franca
106908;Carrer de l'Ebre
107004;Carrer de l'Equador
107208;Carrer d'Edison
107300;Carrer d'Eduardo Conde
107401;Carrer d'Eduard Toda
107503;Plaça d'Eduard Torroja
107605;Carrer d'Eduard Tubau
107707;Carrer de les Egipcíaques
107809;Plaça d'Eguilaz
107853;Carrer de la Menta
107900;Carrer d'Eiximenis
108007;Carrer d'Elkano
108109;Carrer d'Elisenda de Pinós
108255;Jardins dels Horts de Sant Pau
108302;Avinguda d'Elies Pagès
108404;Carrer d'Elisa
108506;Carrer d'Elisabets
108608;Passatge d'Elisabets
108700;Carrer de l'Elisi
108801;Carrer de l'Emancipació
108856;Carrer d'Emèrita Augusta
108903;Carrer d'Emili Roca
108958;Plaça d'Emili Vendrell
109000;Plaça d'Emili Vilanova
109101;Carrer dels Enamorats
109203;Carrer de l'Encarnació
109305;Passatge de l'Encarnació
109407;Passadís de l'Encarnació
109509;Pas de l'Encarnació
109600;Carrer de l'Alzina
109804;Avinguda de l'Alzinar
109906;Carrer de l'Energia
110009;Carrer de Ramon Turró
110053;Carrer d'Enric Morera
110100;Carrer d'Enric Bargés
110144;Carrer de la Savina
110202;Carrer d'Enric Giménez
110304;Carrer d'Enric Granados
110508;Passeig d'Enric Sanchis
110600;Carrer de l'Ensenyança
110701;Carrer de Carles Collet
110803;Carrer d'Entença
110905;Carrer de l'Epir
111001;Carrer d'Erasme de Janer
111103;Carrer d'Ercilla
111158;Passatge d'Ercilla
111205;Plaça d'Herenni
111307;Carrer d'Ermengarda
111351;Carrer del Trèmol
111409;Carrer de l'Escala
111475;Carrer de les Escales de Can Caralleu
111486;Escales de la Gatosa
111497;Escales de Bellavista
111500;Carrer de Salvador Alarma
111602;Carrer d'Escipió
111704;Carrer d'Escòcia
111806;Passatge d'Escòcia
111850;Passeig de l'Escullera
111908;Avinguda d'Escolapi Càncer
112004;Carrer de l'Escorial
112106;Carrer d'Escornalbou
112208;Carrer d'Escudellers
112300;Passatge d'Escudellers
112401;Carrer d'Escudellers Blancs
112503;Carrer d'Escuder
112605;Riera d'Escuder
112751;Carrer del Codonyer
112809;Carrer de les Escoles
112900;Passatge de les Escoles
113007;Carrer de les Escoles Pies
113109;Carrer de l'Escultor Canet
113200;Carrer d'Enric Clarasó
113302;Carrer de l'Escultor Llimona
113404;Carrer de l'Escultor Ordóñez
113426;Plaça de l'Escultor Ramir Rocamora
113506;Carrer dels Escultors Claperós
113608;Carrer de l'Escultura
113700;Plaça d'Isop
113801;Carrer d'Espaseria
113903;Carrer d'Espalter
114000;Plaça d'Espanya
114101;Carrer de l'Espanya Industrial
114203;Carrer d'Esparreguera
114305;Carrer de l'Esparteria
114407;Carrer de l'Esparver
114509;Avinguda d'Espasa
114600;Carrer de l'Esperança
114702;Passatge de l'Esperança
114804;Carrer d'Espiell
114906;Passatge d'Espiell
115002;Carrer de l'Espiga
115104;Carrer d'Espinauga
115206;Carrer d'Espinoi
115308;Passatge d'Espíria
115400;Avinguda d'Esplugues
115501;Carrer d'Espolsa-sacs
115603;Carrer d'Espronceda
115705;Carrer d'Esquirol
115807;Carrer de l'Estació
115851;Carrer del Tren
116005;Passatge de l'Estació
116107;Plaça de l'Estació
116140;Carrer Estació del Morrot
116209;Carrer d'Estadella
116300;Torrent d'Estadella
116402;Avinguda de l'Estadi
116504;Carrer de Pere Sala
116708;Carrer de l'Estany
116800;Carrer de l'Est
116901;Carrer d'Esteve Terradas
117100;Carrer d'Esteràs
117201;Carrer d'Estoril
117405;Carrer de l'Estel
117507;Carrer d'Estruc
117609;Carrer de l'Estudiant
117700;Carreró dels Estudis
117802;Carrer de l'Eterna Memòria
117904;Plaça dels Eucaliptus
118000;Carrer d'Euclides
118102;Carrer d'Eugeni d'Ors
118204;Carrer de les Heures
118306;Carrer d'Europa
118328;Plaça d'Europa
118408;Plaça d'Eusebi Güell
118500;Carrer d'Eusebi Planas
118601;Carrer d'Euterpe
118703;Carrer d'Evarist Arnús
118747;Pla de Montbau
118805;Passeig de l'Exposició
118827;Carrer d'Extremadura
118907;Carrer d'Ezequiel Boixet
118940;Carrer F Zona Franca
119003;Passeig de Fabra i Puig
119105;Carrer de la Fàbrica
119502;Carrer de les Fages
119706;Carrer de Fenals
119808;Carrer del Farell
119900;Plaça de la Farga
120104;Carrer de la Farigola
120206;Passatge de la Farigola
120308;Carrer de Francesc Carbonell
120400;Carrer de Farnés
120454;Camí del Far
120603;Carrer de Fastenrath
120705;Carrer de Fàtima
120807;Via Favència
120851;Carrer de Federico García Lorca
120909;Carrer d'Alexandre Galí
121005;Avinguda de Frederic Rahola
121107;Plaça de Frederic Soler
121209;Carrer de Feijoo
121275;Carrer de la Feixa Llarga
121300;Carrer de Felanitx
121402;Carrer de Felip II
121457;Carrer de Felip Bertran i Güell
121504;Carrer de Felip Gil
121606;Carrer de Felip de Malla
121708;Carrer de Felipe de Paz
121800;Passatge de Felipe de Paz
121901;Carrer de Feliu
122008;Passatge de Feliu
122100;Carrer de Feliu Casanova
122201;Passatge de Feliu Casanova
122303;Carrer de Feliu i Codina
122405;Carrer de Fèlix Macià
122507;Plaça del Fènix
122609;Carrer de Ferlandina
122700;Carrer de Fernán Caballero
122802;Carrer de Fernández Duró
122904;Carrer de Ferran
123000;Carrer de Ferran Agulló
123204;Plaça de Ferran Casablancas
123306;Carrer de Ferran Junoy
123408;Plaça de Lesseps
123601;Carrer de Fernando Poo
123703;Carrer de Pere Duran Farell
123805;Carrer de Ferran Puig
123907;Plaça de Ferran Reyes
124003;Carrer de Ferran Valentí
124105;Carrer de Ferran Valls i Taberner
124309;Carrer de Ferrer Bassa
124400;Carrer de Ferrer de Blanes
124502;Passatge de Ferrer i Vidal
124604;Carrer del Ferrocarril
124706;Carrer dels Ferrocarrils Catalans
125006;Carrer de Fígols
125108;Carrer de Figueres
125301;Plaça de Figuerola
125403;Carrer de les Filipines
125505;Carrer de Finestrat
125607;Carrer de Finestrelles
125709;Camí de Finestrelles
125902;Carrer de Finlàndia
126053;Plaça del Firmament
126100;Carrer de Fisas
126202;Carrer de la Física
126304;Carrer de Fitor
126406;Plaça de Flandes
126508;Carrer de Flandes
126600;Carrer de Flaçà
126701;Carrer de Flassaders
126803;Passatge de Flaugier
126905;Carrer de Flix
127001;Carrer de la Flor
127103;Carrer de la Flor de Lliri
127205;Carrer de la Flor de Neu
127307;Carrer de Florència
127409;Carrer de les Flors
127500;Carrer de la Floresta
127602;Carrer de la Florida
127704;Carrer de Floridablanca
127806;Carrer de les Floristes de la Rambla
128004;Carrer de les Flors de Maig
128059;Carrer de Flos i Calcat
128106;Carrer de Fluvià
128208;Carrer del Foc Follet
128300;Carrer de Foix
128401;Carrer de Folc
128503;Carrer de Folgueroles
128707;Carrer del Fondal de Sant Martí
128900;Carrer de Fonollar
129007;Passatge de Font
129459;Carrer de la Font Honrada
129700;Torrent de la Font d'en Magués
129743;Passatge de la Font del Mont
129754;Carrer de la Font del Mont
129765;Torrent de la Font del Mont
129878;Parc de la Font del Racó
129903;Plaça de Font i Sagué
130006;Carrer d'en Fontrodona
130108;Carrer de Font-rúbia
130200;Camí de la Font-trobada
130403;Carrer de Fontanella
130505;Passatge de Fontanelles
130607;Carrer dels Fontanet
130709;Carrer de Fontcoberta
130800;Carrer de Fonteta
131009;Carrer de Fontova
131100;Carrer de la Foradada
131202;Passatge de Forasté
131304;Passatge de Foret
131508;Carrer de la Formatgeria
131600;Carrer de Formentera
131701;Carrer de Formentor
131803;Carrer de la Formiga
131905;Carrer del Forn de la Fonda
132001;Carrer de Fortuna
132205;Carrer de la Fosca
132307;Plaça del Fossar de les Moreres
132500;Carrer de Fraga
132602;Plaça del Nou
132624;Plaça de Francesc Layret
132704;Carrer de França
132806;Carrer de Francesc Alegre
132908;Carrer de Ramon Trias Fargas
132952;Avinguda de Francesc Cambó
133004;Carrer de Francisco Giner
133106;Carrer de Francisco Manzano
133208;Carrer de Francesc Tarafa
133300;Carrer de Francesc Tàrrega
133401;Carrer del Francolí
133503;Carrer de les Franqueses
133605;Carrer de la França Xica
133809;Carrer de la Fraternitat
133900;Plaça de Fra Eloi de Bianya
134007;Carrer de Fra Juníper Serra
134109;Plaça de Fra Juníper Serra
134200;Carrer de Fra Luis de Granada
134357;Passatge de Rosa Leveroni
134404;Carrer de Freixa
134506;Carrer de Freixures
134608;Carrer de Freneria
134700;Carrer del Davant del Portal Nou
134801;Carrer del Freser
134903;Passatge de Frígola
134958;Pas de Fructuós Gelabert
135000;Carrer de la Fruita
135101;Carrer de la Font Florida
135203;Carrer del Foc
135451;Carrer de la Font Baliarda
135509;Carrer de la Font de Canyelles
135702;Plaça de la Font Castellana
135804;Carrer de la Font del Coll
136002;Passeig de la Font d'en Fargas
136104;Plaça de la Font d'en Fargas
136308;Carrer de la Font del Lleó
136400;Passatge de la Font del Lleó
136501;Passeig de la Font de la Mulassa
136603;Plaça de la Font de la Mulassa
136705;Camí de la Font d'en Quintana
136807;Carrer de la Font del Remei
136909;Carrer de la Font de Sant Miquel
137005;Plaça de Carles Buïgas
137209;Carrer de Fulton
137300;Carrer de la Foneria
137402;Plaça del Doctor Andreu
137504;Carrer de Funoses Llussà
137606;Carrer de la Fusina
137800;Carrer de la Fusteria
137901;Passatge de Gabarnet
138008;Passatge de Guillem Abiell
138052;Plaça de Gabriel Alomar
138100;Carrer de Gabriel y Galán
138201;Carrer de Gabriel Miró
138303;Carrer de la Gasela
138405;Plaça de Gal·la Placídia
138507;Carrer de Galba
138609;Carrer de Galceran Marquet
138620;Galeria Condal
138653;Galeria Maldà
138700;Carrer de Galícia
138802;Carrer de Galileu
139000;Carrer de Galtés
139204;Carrer de la Galla
139306;Passatge de la Galla
139500;Carrer de Bonaventura Roig
139601;Carrer de Gallecs
139623;Carrer del Gállego
139703;Carrer de Gandesa
139805;Carrer de Ganduxer
139907;Carrer de Garbí
140000;Passatge de Garcia Cambra
140101;Carrer de García-Mariño
140203;Avinguda de les Drassanes
140305;Passatge de Garcia i Robles
140407;Carrer de Garcilaso
140509;Passatge de Garcini
140757;Plaça de la Gardunya
140804;Carrer de Garigliano
140906;Carrer de la Garona
141104;Plaça de Garriga i Bachs
141206;Carrer de Garriga i Roca
141308;Plaça de Garrigó
141400;Carrer de Garriguella
141501;Carrer dels Garrofers
141603;Passatge dels Garrofers
141807;Carrer de la Garrotxa
141909;Carrer del Gas
142209;Carrer de Gatuelles
142300;Avinguda de Gaudí
142355;Plaça de Gaudí
142402;Carrer de Gavà
142504;Carrer de Gaiarre
142606;Passatge de Gaiolà
142708;Carrer de Gelabert
142901;Carrer de Gelida
143008;Carrer de Juan Gris
143100;Carrer del General Álvarez de Castro
143201;Avinguda del Castell
143303;Passatge del General Bassols
143405;Carrer del General Castaños
143507;Avinguda de Pau Casals
143609;Carrer de Josep Pla
143700;Plaça del Mirador
143802;Carrer del General Mendoza
143904;Ronda del General Mitre
144102;Carrer de Joaquim Blume
144204;Carrer Ample
144306;Carrer de Pi i Margall
144408;Carrer del General Vives
144500;Carrer d'Eduard Toldrà
144601;Avinguda Diagonal
144805;Carrer de Gènova
144850;Carrer dels Geranis
144907;Carrer Sense Nom (Trav de les Corts)
145003;Carrer de Girona
145105;Carrer de Getsemaní
145207;Plaça de Grau Miró
145309;Carrer dels Gegants
145400;Carrer d'en Gignàs
145604;Carrer dels Gimbernat
145706;Carrer de Ginebra
145808;Passatge de Ginecòs
146006;Carrer d'en Giralt el Pellisser
146108;Passatge del Gira-sol
146200;Carrer Gíriti
146403;Carrer de Gironella
146505;Plaça de Manuel Corachan
146607;Carrer de la Gitanilla
146709;Carrer de la Gleva
146800;Baixada de la Glòria
146902;Plaça de les Glòries Catalanes
147009;Carrer de Goldoni
147100;Carrer del Gòlgota
147202;Carrer de l'Oreneta
147304;Carrer de Gombau
147406;Baixada de Gomis
147508;Carrer de Gomis
147600;Passatge de Gomis
147701;Carrer de Góngora
147803;Carrer de Gordi
148001;Carrer de Gósol
148103;Carrer de Goya
148158;Plaça de Goya
148205;Carrer de Gràcia
148307;Passeig de Gràcia
148409;Carretera de Sant Cugat
148500;Carrer del Gran Capità
148602;Carrer de la Gran Vista
148704;Carrer de la Ciutat de Granada
148806;Carrer de la Granada del Penedès
148908;Carrer de la Granadella
149004;Carrer de Granados
149106;Carrer de la Granja
149300;Carrer de Granollers
149503;Carrer de Grases
149605;Carrer d'en Grassot
149707;Carrer de Gratallops
149809;Carrer de Grau
149900;Passatge de Grau
150003;Carrer de Grau i Torras
150105;Carrer de Graus
150207;Carrer de Gravina
150309;Carrer de Grècia
150400;Carrer del Greco
150502;Carrer de Gresolet
150604;Carrer de Grífols
150706;Carrer d'en Groc
150808;Carrer de Grunyí
150852;Grup Vivendes la Pau
150900;Carrer de Guadalajara
151006;Carrer del Guadalete
151108;Carrer del Guadalquivir
151200;Carrer del Guadiana
151301;Carrer de Gualbes
151403;Carrer del Guarda Anton
151458;Carrer de la Guarderia
151505;Carrer de Guàrdia
151607;Passatge de Guardiola
151709;Carrer de Guardiola i Feliu
151800;Carrer de Guatemala
151902;Carrer de la Guatlla
151957;Passeig de Guayaquil
152009;Passatge de Güell
152100;Carrer de Guillem
152202;Carrer de les Guilleries
152304;Carrer de Guillem de Llúria
152406;Carrer de Guillem Sagrera
152508;Carrer de Guillem Tell
152600;Carrer del Guinardó
152803;Plaça del Guinardó
152905;Ronda del Guinardó
152938;Carrer del Torrent de la Guineu
153001;Carrer de la Guineueta
153158;Ronda de la Guineueta Vella
153205;Rambla de Guipúscoa
153307;Carrer de Guitert
153500;Carrer de Guspí
153602;Carrer de Gustavo Bécquer
153704;Carrer de Gutenberg
153806;Passatge de Gutenberg
153828;Passatge H Zona Franca
154004;Carrer d'Haití
154208;Carrer d'Hartzenbusch
154300;Carrer d'Hedilla
154401;Carrer d'Hèrcules
154605;Costa de Sant Bartomeu de la Quadra
154650;Carrer dels Germans Serra
154707;Plaça dels Germans Serra
154809;Carrer d'Hernán Cortés
154900;Carrer dels Herois del Bruc
155007;Plaça de Prat de la Riba
155109;Carrer de Lázaro Cárdenas
155302;Carrer de la Ferreria
155506;Carrer dels Ferrers
155608;Carrer d'Hercegovina
155700;Passatge d'Hercegovina
155801;Carrer del Ferro
156101;Carrer d'Hipòlit Lázaro
156203;Plaça de Pablo Neruda
156305;Carrer de l'Historiador Maians
156407;Carrer d'Homer
156509;Carrer d'Hondures
156600;Carrer d'Horaci
156702;Carrer Horitzontal
156804;Carrer del Forn
156906;Passatge de l'Hort dels Velluters
157002;Carrer de l'Hort de la Vila
157104;Carrer d'Horta
157206;Carrer de Bonaventura Gispert
157308;Carretera d'Horta a Cerdanyola
157400;Carrer de l'Hortal
157705;Carrer de l'Hortènsia
157909;Carrer de l'Hospital
158005;Passatge de l'Hospital
158107;Avinguda de Vallcarca
158209;Carrer d'Hostafrancs de Sió
158300;Carrer de l'Hostal d'en Sol
158402;Carrer d'Hostalric
158504;Carrer de Huelva
158606;Carrer de les Hortes
158752;Carrer de l'Hort de la Bomba
158800;Carrer de l'Hort de Sant Pau
158901;Plaça d'Osca
159008;Carrer d'Hug de Rocabertí
159100;Carrer d'Hurtado
159201;Carrer de la Vitrària
159303;Carrer d'Ibèria
159405;Plaça d'Ibèria
159507;Plaça d'Eivissa
159609;Carrer d'Ivorra
159653;Carrer d'Idumea
159700;Carrer d'Ifni
159802;Carrer de l'Església
159904;Camí de l'Església
160007;Carretera de l'Església
160200;Carreró de Ca l'Iglésies
160302;Passatge d'Iglésias
160404;Plaça d'Ignasi Juliol
160608;Carrer de Can Ros
160700;Carrer d'Igualada
160801;Passatge de la Igualtat
160903;Plaça d'Ildefons Cerdà
161000;Carrer d'Inca
161101;Carrer de la Independència
161203;Passatge de la Independència
161247;Plaça del Teix
161305;Carrer d'Indíbil
161407;Carrer de la Indústria
161509;Passatge de Graziella Pareto
161600;Passatge de Lluïsa Vidal
161702;Passatge de la Indústria lletra C
161804;Plaça de la Infància
162002;Avinguda de Josep Tarradellas
162104;Carrer de la Infanta Isabel
162206;Jardins de les Infantes
162352;Carrer de la Robínia
162400;Carrer de la Immaculada
162501;Carrer del Lliri
162603;Carrer de l'Institut Frenopàtic
162705;Carrer de l'Institut Químic de Sarrià
162807;Passeig de Minici Natal
162909;Carrer d'Iradier
163005;Carrer d'Iriarte
163107;Carrer d'Irlanda
163209;Passatge d'Irlanda
163402;Passatge d'Isabel
163504;Passeig d'Isabel II
163708;Passatge d'Isabel Ribó
164008;Camí de Ca l'Isidret
164100;Carrer d'Isona
164303;Carrer de Jacinto Benavente
164358;Carrer de la Gardènia
164405;Passatge de Jacint Guardiola
164507;Carrer de Jacquard
164609;Carrer de Jadraque
164700;Carrer de Jaén
164802;Carrer de Jaume I
164904;Plaça de Jaume II
165000;Carrer de Jaume Cabrera
165102;Carrer de Jaume Càncer
165204;Carrer de Jaume Cascalls
165259;Carrer del Baladre
165306;Carrer de Jaume Fabra
165408;Carrer de Jaume Fabre
165500;Carrer de Jaume Giralt
165601;Carrer de Jaume Huguet
165612;Plaça de Jaume Huguet
165656;Carrer de Jaume Martí
165703;Carrer de Jaume Pinent
165805;Carrer de Jaume Piquet
165907;Carrer de Jaume Puigvert
166003;Carrer de Jaume Roig
166105;Passatge de Jaume Roig
166309;Carrer de Jambrina
166400;Carrer del Japó
166502;Plaça dels Jardins d'Alfàbia
166513;Jardins de Bacardí
166535;Jardins de Pedro Muñoz Seca
166579;Jardins de Can Mantega
166580;Parc de Cervantes
166590;Jardins del Doctor Roig i Raventós
166604;Carrer del Gessamí
166659;Jardins de Joaquim Ruyra
166670;Jardins de Joan Altisent
166681;Carrer de Joaquim Sunyer
166750;Jardins de les Voltes d'en Cirés
166808;Carrer de Jerez
166900;Carrer de Jericó
167108;Carrer de Jerusalem
167200;Carrer de Jesús
167301;Carrer de Jesús i Maria
167403;Passatge de la Cadernera
167425;Plaça de Joan Corrades
167458;Jardins de Joan Maragall
167505;Plaça d'en Joanic
167550;Plaça de Joan Llongueras
167607;Carrer de Joanot Martorell
167709;Carrer de Joaquín Costa
167800;Carrer de Joaquim Molins
167902;Plaça de Joaquim Pena
168009;Passatge de Joaquim Pujol
168053;Passeig de Joaquim Renart
168100;Passatge de Joaquim Rita
168202;Carrer de Joaquim Ruyra
168304;Carrer de Joaquim Valls
168406;Carrer de Jorba
168508;Passatge de Jorba
168701;Carrer de Jordà
168803;Avinguda del Jordà
168905;Carrer de Jordi de Sant Jordi
169001;Passatge de Jordi Ferran
169023;Carrer de Jordi Girona
169103;Carrer de Jorge Manrique
169205;Carrer de José de Agulló
169307;Carrer de Josep Anselm Clavé
169409;Gran Via de les Corts Catalanes
169500;Carrer de Josep Balari
169602;Carrer de Josep Bertrand
169657;Carrer de Josep Canaleta
169704;Carrer de Josep Ciurana
169908;Carrer de Josep Estivill
170000;Carrer de Josep Garí
170102;Carrer de Josep Yxart
170204;Carrer de Josep Jover
170306;Passatge de Josep Llovera
170408;Carrer de Josep M. Florensa
170500;Plaça de Josep M. Folch i Torres
170554;Carrer de Josep M. Jujol
170601;Carrer de José Millán González
170703;Carrer de Josep Sangenís
170758;Carrer de Josep Soldevila
170805;Carrer de Josepa Massanés
170907;Carrer de la Jota
171003;Carrer de Jovellanos
171105;Carrer de Joan I
171207;Carrer de Joan Alcover
171309;Carrer de Joan d'Alòs
171400;Carrer de Joan d'Àustria
171502;Carrer de Juan de Ávila
171604;Carrer de Joan Blanques
171706;Carrer de Juan Bravo
171808;Passatge de Joan Casas
171900;Carrer de Joan Cortada
172006;Carrer de Trias i Giró
172108;Carrer de Joan Gamper
172200;Carrer de Juan de Garay
172301;Passatge de Joan Goula
172403;Carrer de Joan Güell
172607;Carrer de Joan Massana
172709;Carrer de Juan de Mena
172902;Carrer de Joan de Palomar
173009;Carrer de Joan de Peguera
173100;Carrer de Joan Riera
173202;Carrer de Juan de Sada
173304;Carrer de Johann Sebastian Bach
173406;Carrer de Sibelius
173508;Carrer de Joan Torras
173600;Carrer de Juan Valera
173701;Carrer de Joan Orpí
173803;Carrer de Jubany
173870;Carrer de Judea
173905;Carrer dels Jocs Florals
174001;Carrer del Judici
174103;Carrer de Julià
174205;Passatge de Julià
174307;Via Júlia
174409;Carrer de Julià Portet
174500;Carrer de Julián Romea
174602;Carrer del Juliol
174704;Carrer de Jules Verne
174908;Carrer del Joncar
175004;Carrer de la Jonquera
175106;Carrer de Jonqueres
175208;Carrer de la Junta de Comerç
175300;Carrer de Jupí
175321;Carrer de Júpiter
175354;Carrer de Borrell i Soler
175478;Carrer K Zona Franca
175503;Passatge de Klein
175558;Carrer L Zona Franca
175605;Carrer del Laberint
175627;Parc del Laberint
175707;Carrer dels Rajolers
175809;Carrer de Lafont
175900;Carrer de Laforja
176109;Plaça de la Laguna de Lanao
176153;Carrer dels Lamote de Grignon
176200;Plaça de la Llana
176302;Carrer de Lancaster
176404;Carrer del Llenguadoc
176506;Carrer de Lanzarote
176608;Carrer de Larrard
176700;Carrer del Llorer
176801;Carrer de Roger de Llúria
176903;Carrer dels Safareigs
176914;Carrer de Labèrnia
177101;Via Laietana
177203;Carrer del Llatzeret
177305;Carrer de la Lleialtat
177407;Carrer de la Legalitat
177509;Carrer de Legazpi
177702;Carrer del Lleó
177804;Passatge de León
177906;Carrer de Lleó XIII
178002;Carrer de la Lleona
178206;Carrer de Leopoldo Alas
178308;Carrer de Lepant
178400;Carrer de Lleida
178501;Carrer de les Lletres
178603;Carrer de Llevant
178807;Carrer de Leiva
178909;Carrer de la Llibertat
179107;Plaça de la Llibertat
179209;Baixada de la Llibreteria
179300;Carrer de la Llibreteria
179402;Carrer de la Llebre
179457;Carrer de Llorens i Artigas
179504;Carrer de Lima
179708;Carrer de Lincoln
179800;Carrer de la Lírica
179901;Carrer de Lisboa
180004;Carrer de Liuva
180106;Carrer de Logronyo
180150;Carrer de Lohengrin
180208;Carrer de Londres
180401;Carrer de Lope de Vega
180605;Carrer de López Catalán
180707;Plaça de Llorca
180751;Carrer de Lorena
180809;Carrer de Lorenzale
180900;Carrer de Loreto
181007;Carrer del Lotus
181109;Carrer de Lorda
181200;Carrer de Lucà
181302;Passatge de Lucà
181506;Passatge del Puig Aguilar
181608;Carrer de Roc Boronat
181700;Carrer de Lluís el Piadós
181801;Carrer de Lugo
181903;Passatge de Lugo
182000;Carrer de Luis Antúnez
182101;Carrer de Lluís Bonifaç
182203;Carrer de Lluís Borrassà
182305;Carrer de Louis Braille
182407;Passatge de Lluís Cutchet
182509;Carrer de Lluís Dalmau
182600;Carrer de Lluís Marià Vidal
182702;Carrer de Lluís Muntadas
182804;Passatge de Lluís Pellicer
183002;Carrer de Lluís Sagnier
183104;Carrer de Lluís Vives
183206;Carrer de la Lluna
183603;Carrer de la Llacuna
183705;Passatge de la Llacuna
183909;Carrer de Lledó
184005;Carrer del Lledoner
184107;Carrer de Llafranc
184209;Carrer de Llagostera
184402;Carrer de Llança
184504;Carrer d'en Llàstics
184606;Carrer de Llauder
184708;Passatge de Llavallol
184800;Carrer de Llerona
184901;Torrent de Lligalbé
185008;Pati d'en Llimona
185052;Carrer de Llinars del Vallès
185100;Camí de la Lliça
185143;Carrer de Lliçà
185303;Passatge de Llívia
185405;Carrer de Llobet
185507;Carrer de Llobet i Vall-llosera
185700;Carrer del Llobregós
185802;Carrer de Llopis
186000;Passatge de Llorac
186102;Carrer de Llorens i Barba
186204;Carrer de Lloret de Mar
186306;Carrer de la Llosa
186408;Carrer de Llobera
186500;Carrer de Lluc
186601;Plaça de la República
186703;Carrer de Llull
186805;Carrer del Lluçanès
