CODI;NOM_OFICIAL
019701;Carrer de l'Arc de Sant Martí
019803;Passatge de l'Arc de Sant Martí
019905;Carrer de la Volta dels Jueus
020008;Carrer de l'Arc del Mercat
020100;Carrer de la Volta de la Perdiu
020201;Carrer de la Volta del Remei
020303;Carrer de l'Arc de Sant Agustí
020405;Carrer de l'Arc de Sant Cristòfol
020507;Carrer de l'Arc de Sant Onofre
020609;Carrer de l'Arc de Sant Pau
020700;Carrer de l'Arc de Sant Ramon del Call
020802;Carrer de l'Arc de Sant Sever
020904;Carrer de l'Arc de Sant Silvestre
021000;Carrer de l'Arc de Sant Vicenç
021102;Carrer de l'Arc de Santa Eulàlia
021204;Carrer de la Volta dels Tamborets
021306;Carrer de l'Arc del Teatre
021601;Carrer dels Arcs
021703;Carrer d'Ardena
021805;Carrer d'Ardèvol
021907;Carrer de l'Esquirol Volador
022207;Carrer de les Arenes dels Canvis
022309;Carrer de les Arenes de Sant Pere
022400;Carrer d'Arenys
022502;Passatge d'Arenys
022604;Carrer dels Argensola
022615;Carrer del Castell d'Argençola
022706;Carrer de l'Argenter
022808;Carrer de l'Argentera
022852;Passeig de l'Argentinita
022900;Carrer d'Argentona
023108;Carrer d'Argimon
023200;Carrer d'Argullós
023301;Passatge d'Argullós
023403;Carrer d'Aribau
023505;Carrer d'Arimon
023607;Carrer d'Ariosto
023709;Carrer dels Arítjols
023800;Carrer d'Arizala
023902;Carrer d'Arlet
023980;Plaça de l'Armada
024009;Carrer d'Armengol
024100;Carrer de l'Harmonia
024304;Carrer d'Arnau d'Oms
024406;Carrer d'Arnau
024508;Carrer d'Arnau Bargués
024600;Carrer d'Arnes
024701;Carrer d'Arnús i de Garí
024803;Carrer de la Vall d'Aro
024905;Carrer de n'Aroles
025001;Carrer d'Arquímedes
025103;Carrer d'August Font
025205;Carrer de l'Arquitecte Martorell
025307;Carrer de l'Arquitecte Mas
025409;Passatge de l'Arquitecte Millàs
025500;Carrer de l'Arquitectura
025602;Carrer de l'Escull
025704;Carrer de les Penedides
025806;Passatge d'Arriassa
025908;Plaça dels Traginers
026106;Carrer d'Artà
026208;Carrer de l'Art
026300;Passatge d'Artemis
026456;Carrer d'Artés
026503;Carrer d'Artesa de Segre
026605;Carrer de l'Artesania
026707;Plaça d'Artós
026809;Carrer d'Ascó
026900;Carrer dels Ases
027007;Carrer dels Assaonadors
027051;Plaça de l'Assemblea de Catalunya
027109;Carrer de la Drassana
027302;Carrer d'Astúries
027357;Passatge de la Talaia
027404;Drecera de Vallvidrera
027506;Carrer d'Ataülf
027608;Carrer d'Atenes
027700;Carrer de l'Atlàntida
027754;Passatge de l'Àtom
027801;Carrer dels Ocells
027903;Carrer d'Auger
028000;Via Augusta
028101;Carrer d'Aulèstia i Pijoan
028203;Carrer de l'Aurora
028305;Carrer d'Ausiàs Marc
028407;Carrer d'Ausona
028509;Carrer de l'Ave Maria
028600;Carrer dels Avellà
028702;Carrer de l'Aviació
028804;Carrer de l'Aviador Durán
028906;Carrer de l'Aviador Franco
029002;Carrer de l'Aviador Ruiz de Alda
029104;Carrer de Jiménez i Iglesias
029206;Carrer d'Àvila
029308;Carrer d'Avinyonet
029400;Carrer d'Avinyó
029501;Carrer de l'Avió Plus Ultra
029603;Passatge d'Aymà
029705;Carrer de l'Ajuntament
029807;Carrer de les Açores
029953;Plaça d'Otero Pedrayo
030089;Carrer B Zona Franca
030103;Carrer de Bacardí
030205;Passatge de Bacardí
030307;Plaça de Bacardí
030409;Carrer de Bac de Roda
030500;Carrer de Badajoz
030602;Rambla de Badal
030704;Passatge de Badal
030806;Carrer de Badalona
030908;Carrer de Badia
031004;Carrer de Badosa
031208;Carrer de Begur
031300;Carrer de Bailèn
031401;Passatge Baix del Turó
031605;Carrer Baix de Mariner
031707;Carrer de Sant Pere Més Baix
031900;Carrer de Balboa
