"""CODI"""	"""NOM_OFICIAL"""
19701	Carrer de l'Arc de Sant Martí
19803	Passatge de l'Arc de Sant Martí
19905	Carrer de la Volta dels Jueus
20008	Carrer de l'Arc del Mercat
20100	Carrer de la Volta de la Perdiu
20201	Carrer de la Volta del Remei
20303	Carrer de l'Arc de Sant Agustí
20405	Carrer de l'Arc de Sant Cristòfol
20507	Carrer de l'Arc de Sant Onofre
20609	Carrer de l'Arc de Sant Pau
20700	Carrer de l'Arc de Sant Ramon del Call
20802	Carrer de l'Arc de Sant Sever
20904	Carrer de l'Arc de Sant Silvestre
21000	Carrer de l'Arc de Sant Vicenç
21102	Carrer de l'Arc de Santa Eulàlia
21204	Carrer de la Volta dels Tamborets
21306	Carrer de l'Arc del Teatre
21601	Carrer dels Arcs
21703	Carrer d'Ardena
21805	Carrer d'Ardèvol
21907	Carrer de l'Esquirol Volador
22207	Carrer de les Arenes dels Canvis
22309	Carrer de les Arenes de Sant Pere
22400	Carrer d'Arenys
22502	Passatge d'Arenys
22604	Carrer dels Argensola
22615	Carrer del Castell d'Argençola
22706	Carrer de l'Argenter
22808	Carrer de l'Argentera
22852	Passeig de l'Argentinita
22900	Carrer d'Argentona
23108	Carrer d'Argimon
23200	Carrer d'Argullós
23301	Passatge d'Argullós
23403	Carrer d'Aribau
23505	Carrer d'Arimon
23607	Carrer d'Ariosto
23709	Carrer dels Arítjols
23800	Carrer d'Arizala
23902	Carrer d'Arlet
23980	Plaça de l'Armada
24009	Carrer d'Armengol
24100	Carrer de l'Harmonia
24304	Carrer d'Arnau d'Oms
24406	Carrer d'Arnau
24508	Carrer d'Arnau Bargués
24600	Carrer d'Arnes
24701	Carrer d'Arnús i de Garí
24803	Carrer de la Vall d'Aro
24905	Carrer de n'Aroles
25001	Carrer d'Arquímedes
25103	Carrer d'August Font
25205	Carrer de l'Arquitecte Martorell
25307	Carrer de l'Arquitecte Mas
25409	Passatge de l'Arquitecte Millàs
25500	Carrer de l'Arquitectura
25602	Carrer de l'Escull
25704	Carrer de les Penedides
25806	Passatge d'Arriassa
25908	Plaça dels Traginers
26106	Carrer d'Artà
26208	Carrer de l'Art
26300	Passatge d'Artemis
26456	Carrer d'Artés
26503	Carrer d'Artesa de Segre
26605	Carrer de l'Artesania
26707	Plaça d'Artós
26809	Carrer d'Ascó
26900	Carrer dels Ases
27007	Carrer dels Assaonadors
27051	Plaça de l'Assemblea de Catalunya
27109	Carrer de la Drassana
27302	Carrer d'Astúries
27357	Passatge de la Talaia
27404	Drecera de Vallvidrera
27506	Carrer d'Ataülf
27608	Carrer d'Atenes
27700	Carrer de l'Atlàntida
27754	Passatge de l'Àtom
27801	Carrer dels Ocells
27903	Carrer d'Auger
28000	Via Augusta
28101	Carrer d'Aulèstia i Pijoan
28203	Carrer de l'Aurora
28305	Carrer d'Ausiàs Marc
28407	Carrer d'Ausona
28509	Carrer de l'Ave Maria
28600	Carrer dels Avellà
28702	Carrer de l'Aviació
28804	Carrer de l'Aviador Durán
28906	Carrer de l'Aviador Franco
29002	Carrer de l'Aviador Ruiz de Alda
29104	Carrer de Jiménez i Iglesias
29206	Carrer d'Àvila
29308	Carrer d'Avinyonet
29400	Carrer d'Avinyó
29501	Carrer de l'Avió Plus Ultra
29603	Passatge d'Aymà
29705	Carrer de l'Ajuntament
29716	Casa de la Ciutat Ajuntament Barcelona
29807	Carrer de les Açores
29953	Plaça d'Otero Pedrayo
30089	Carrer B Zona Franca
30103	Carrer de Bacardí
30205	Passatge de Bacardí
30307	Plaça de Bacardí
30409	Carrer de Bac de Roda
30500	Carrer de Badajoz
30602	Rambla de Badal
30704	Passatge de Badal
30806	Carrer de Badalona
30908	Carrer de Badia
31004	Carrer de Badosa
31208	Carrer de Begur
31300	Carrer de Bailèn
31401	Passatge Baix del Turó
31605	Carrer Baix de Mariner
31707	Carrer de Sant Pere Més Baix
31900	Carrer de Balboa
32007	Carrer de Balcells
32051	Carrer de Baldiri Reixac
32109	Carrer de Baldomer Girona
32200	Carrer de les Balears
32302	Carrer de Balenyà
32404	Carrer de Baliarda
32506	Passatge de Baliarda
32608	Carrer de Balira
32700	Carrer de Balmes
32903	Carrer del Voló
33000	Carrer de Balsareny
33101	Carrer de les Basses de Sant Pere
33203	Carrer de Baltasar Gracián
33258	Carrer de Baltasar Samper
33305	Carrer del Baluard
33350	Carrer de Ballot
33509	Carrer de Ballester
33702	Passatge de la Banca
33804	Carrer de Banyoles
34002	Carrer dels Banys Nous
34104	Carrer dels Banys Vells
34308	Carrer la Rambla
34400	Via de Bàrcino
34603	Carrer de Barnola
34807	Carrer del Baró de la Barre
35005	Carrer del Baró d'Esponellà
35107	Passatge del Baró de Griñó
35209	Carrer del Baró de Sant Lluís
35253	Grup Baron de Viver
35300	Carrer de la Barra de Ferro
35606	Carrer del Barri Vermell
35741	Barriada Pekin
35800	Carrer de Bartrina
35901	Carrer de Basea
36100	Carrer de Bassegoda
36201	Carrer de Bassols
36405	Carrer de Batet
36507	Carrer de Batista
36609	Passatge de Batlló
36700	Carrer de Batllori
36755	Carrer de la Colònia Bausili
36802	Carrer de les Beates
36904	Plaça de les Beates
37000	Carrer del Beat Almató
37102	Carrer del Pare Miquel de Sarrià
37204	Carrer del Beat Simó
37306	Carrer de Beatriu
37350	Avinguda de J. V. Foix
37408	Carrer de Beethoven
37500	Carrer de la Begònia
37601	Carrer de Béjar
37703	Carrer de Betlem
37907	Carrer de Bellafila
37951	Plaça de Bellavista
37973	Passatge de Bellavista
37984	Camí de Bellavista
38003	Carrer de Bellcaire
38105	Carrer de Bellesguard
38309	Carrer de Bellmunt
38400	Carrer de Bellprat
38502	Carrer de Bellver
38604	Carrer de Benavent
38706	Carrer de Benedetti
38808	Plaça de Benet XV
38900	Carrer de Benet Mateu
39006	Carrer de Benevent
39108	Carrer de Benet Mercadé
39301	Carrer de Benlliure
39505	Plaça de Ramon Berenguer el Gran
39607	Carrer de Berenguer Mallol
39709	Carrer de Berenguer de Palou
39800	Carrer de Ramon Berenguer el Vell
39902	Carrer de Beret
40005	Carrer de Berga
40107	Carrer de Berguedà
40209	Carrer de Bergnes de las Casas
40300	Carrer de Berlín
40402	Carrer del Berlinès
40504	Carrer de Bermejo
40606	Carrer de Berna
40708	Passatge de Bernardí Martorell
40800	Carrer de Bernat Bransi
40901	Carrer de Bernat Martorell
41008	Carrer de Bernat Desclot
41052	Passatge de Bernat Fenollar
41100	Carrer de Bernat Metge
41201	Carrer de Berruguete
41303	Carrer de Bertran
41405	Carrer de Bertrand i Serra
41507	Carrer de Besalú
41700	Carrer del Besòs
41802	Carrer de Betània
41904	Carrer de Béthencourt
42000	Carrer de Besiers
42204	Carrer de Bigai
42259	Passatge de Bigai
42306	Carrer de Bilbao
42408	Carrer de Biosca
42500	Carrer de la Bisbal
42601	Carrer de Bismarck
42703	Passatge de Bismarck
42758	Passatge de la Blada
42805	Riera Blanca Sarrià
43003	Carrer d'en Blanco
43058	Baixada de Blanes
43105	Carrer de la Blanqueria
43207	Carrer de Blasco de Garay
43309	Plaça del Sortidor
43400	Carrer de Blai
43502	Carrer de Blesa
43604	Carrer de Boada
43706	Carrer de la Bòbila
43808	Passatge de Bocabella
43900	Carrer dels Bofarull
44006	Passatge de Bofarull
44108	Passatge de Bofill
44200	Avinguda del Bogatell
44221	Carrer dels Bohemis
44301	Carrer de Bolívar
44403	Carrer de Bolívia
44505	Carrer d'en Boltres
44607	Carrer del Bonaire
44709	Passeig de la Bonanova
44800	Plaça de la Bonanova
44902	Carrer de Bonaplata
45100	Passatge de Boné
45202	Carrer de Bonsoms
45304	Carrer de Bonveí
45406	Carrer d'en Boquer
45508	Carrer de la Boqueria
45600	Pla de la Boqueria
45701	Avinguda dels Quinze
45803	Carretera de la Bordeta
45905	Carrer de Bordils
45950	Carrer de Borgonya
46001	Passatge de Bori
46103	Carrer de Bori i Fontestà
46205	Carrer de la Bòria
46307	Carrer de les Borges Blanques
46409	Passeig del Born
46602	Carrer de Borràs
46704	Plaça de Borràs
47004	Passatge de Borrell
47208	Carrer de Bosch
47300	Carrer de Bosch i Alsina
47401	Passatge de Bosch i Labrús
47503	Carrer del Bosc
47558	Plaça de Boston
47605	Carrer d'en Bot
47707	Carrer d'en Botella
47809	Carrer dels Boters
48109	Carrer del Bou de Sant Pere
48153	Galeria Boulevard Rosa
48200	Carrer de Bragança
48404	Rambla del Brasil
48608	Carrer de Breda
48700	Carrer de Bretón de los Herreros
48765	Carrer del Violer
48801	Carrer de Briquets
48903	Baixada de Briz
49101	Carrer dels Brocaters
49203	Carrer del Bronze
49305	Carrer de Brossa
49407	Carrer del Brosolí
49509	Carrer del Bruc
49600	Plaça de Brugada
49702	Carrer de Bruguera
49757	Carrer del Brull
50009	Carrer de Bruniquer
50100	Carrer de Brussel·les
50202	Carrer de Brusi
50304	Carrer de Gabriel Ferrater
50600	Carrer del Bon Pastor
50803	Carrer de Buenaventura Muñoz
50905	Carrer de Ventura Plaja
51001	Carrer de Bonaventura Pollés
51103	Carrer de Bonavista
51169	Passatge de Bonavista
51205	Carrer de Buenos Aires
51307	Carrer del Bonsuccés
51409	Plaça del Bonsuccés
51500	Carrer de Buïgas
51704	Carrer de Bunyola
51806	Carrer de Bordeus
51908	Carrer de Burgos
52004	Carrer de Borriana
52106	Passatge de Burrull
52208	Carrer de Buscarons
52401	Carrer de Buxó
52423	Carrer C Zona Franca
52503	Plaça de Caba
52605	Carrer de Caballero
52707	Carrer dels Cavallers
52900	Carrer de Cabanes
53007	Carrer del Cabanyal
53109	Carrer de Cabestany
53200	Carrer de les Cabres
53302	Carrer de Cabrera
53506	Carrer de Càceres
53608	Carrer de Cadaqués
53801	Camí de la Cadena
54000	Carrer del Cadí
54101	Carrer de Cadis
54305	Carrer de Queixans
54407	Carrer del Caire
54451	Passatge de la Caixa d'Estalvis
54509	Carrer de Calàbria
54600	Carrer de Calaf
54702	Passatge de Calafell
54804	Carrer de les Calàndries
54906	Carrer de Calatrava
55002	Carrer de Calderón de la Barca
55104	Carrer de Calders
55206	Carrer de Calella
55308	Carrer de Calendau
55501	Passeig de Calvell
55603	Carrer de Calvet
55705	Plaça de Calvó
55807	Plaça de Francesc Macià
55909	Carrer del Call
56005	Carrer del Callao
56107	Carrer de Càller
56129	Carrer de Camarasa
56209	Carrer dels Canvis Nous
56300	Carrer dels Canvis Vells
56402	Carrer de Cambrils
56504	Carrer de les Camèlies
56606	Passatge de les Camèlies
56708	Carrer de Camil Fabra
56800	Carrer de Camil Oliveras
57008	Passatge del Caminal
57100	Carrer de Camós
57201	Carrer del Camp
57303	Plaça del Camp
57507	Carrer de Campeny
57609	Carrer de Campins
57700	Passatge del Camp
57802	Carrer del Camp Arriassa
57904	Carrer de Campo Florido
58000	Carrer del Camp d'en Vidal
58102	Carrer de Campoamor
58204	Passatge dels Camps Elisis
58306	Carrer de Campreciós
58408	Carrer de Camprodon
58500	Carrer de Camps i Fabrés
58521	Carrer Can Balasch
58532	Camí de Can Balasch
58543	Carrer de Can Basseda
58554	Carrer de Can Bruixa
58598	Camí de Can Castellví
58601	Carrer de Can Caralleu
58612	Carrer de Can Clos
58634	Camí de Can Clos
58747	Camí de Can Pasqual
58780	Camí del Mas Sauró
58850	Tvc Cumbre Tibidabo
58907	Carrer de Canaan
59003	Passatge de Canadell
59105	Carrer de Canalejas
59207	Carrer de les Canàries
59309	Carrer de la Cançó
59400	Carrer de les Candeles
59604	Carrer de Canet
59706	Passatge de Canet
59808	Carrer de Canfranc
59900	Carrer del Canigó
60002	Carrer del Canonge Almera
60104	Plaça del Canonge Colom
60206	Passatge del Canonge Cuffí
60308	Carrer del Canonge Pibernat
60400	Plaça del Canonge Rodó
60501	Baixada de la Canonja
60603	Carrer de Canovelles
60705	Carrer de Cànoves
60807	Carrer de Cantàbria
61005	Carrer de la Cantera
61050	Carrer de la Pedrera del Mussol
61107	Carrer de les Pedreres
61300	Passatge de Cantí
61402	Carrer de la Canuda
61504	Carrer de Canyameres
61606	Carrer de Canyelles
61708	Carrer del Canó
61800	Carrer del Cap de Guaita
61901	Carrer del Cap del Món
62008	Passatge de Capdevila
62100	Carrer de Capella
62201	Carrer de Capellades
62303	Carrer dels Capellans
62450	Carrer de la Capella de Can Caralleu
62507	Carrer del Capità Arenas
62609	Avinguda d'Icària
62700	Carrer de Bosch i Gimpera
62755	Carrer de la Riera de Tena
62802	Carrer dels Caponata
62904	Carrer de Capçanes
63000	Carrer de Capsec
63102	Carrer del Capcir
63204	Passatge dels Caputxins
63306	Carrer de les Caputxes
63408	Carrer d'en Carabassa
63601	Torrent de la Carabassa
63703	Carrer de la Caravel·la La Niña
63805	Carrer de la Caravel·la La Pinta
63850	Carrer de Caracas
63907	Torrent de Can Caralleu
64105	Carrer de la Carassa
64207	Carrer de Carbonell
64309	Passatge de Carbonell
64400	Carrer de Carcassona
64433	Cárcel Modelo
64502	Carrer de Cardedeu
64604	Passatge de Cardedeu
64706	Carrer del Cardenal Casañas
65006	Plaça del Cardenal Cicognani
65108	Carrer del Cardenal Cisneros
65200	Carrer del Cardenal Reig
65301	Carrer del Cardenal Sentmenat
65403	Carrer del Cardenal Tedeschini
65505	Carrer del Cardenal Vives i Tutó
65607	Carrer dels Carders
65800	Carrer de Cardó
65902	Carrer de Cardona
66009	Plaça de Cardona
66100	Carrer del Cardener
66304	Carrer de Cariteo
66508	Gran Via de Carles III
66600	Plaça de Carlos Ibáñez
66701	Plaça de Vallvidrera
66803	Carrer de Carles Pirozzini
66905	Passatge de Carlota de Mena
67001	Carretera del Carmel
67103	Rambla del Carmel
67205	Torrent del Carmel
67307	Carrer del Carme
67409	Plaça del Carme
67602	Carrer de Carme Karr
67704	Carrer del Castell d'Olorda
67806	Carrer de les Carolines
67908	Carreró de les Carolines
68004	Carrer de Carrencà
68106	Carrer de Carrera
68208	Carrer de Carreras
68230	Passatge de Carreras
68401	Carrer de Carreras i Candi
68503	Carrer de les Carretes
68605	Plaça del Carril
68707	Carrer de Carroç
68809	Passatge de Carsi
68900	Carrer de Cartagena
69007	Carrer de Cartago
69109	Carrer de Cartellà
69175	Carrer de la Cartoixa
69200	Carrer de Ca l'Alegre
69302	Passeig de Cantunis
