CODI_CARRER,NUMPOST,LLEPOST,TIPUSNUM,DTE,DIST_POST,SECC_CENS,SECC_EST,BARRI,ED50_COORD_X,ED50_COORD_Y,ETRS89_COORD_X,ETRS89_COORD_Y,LONGITUD,LATITUD
108608,1, ,1,1,1,20,148,1,430629.316,4581865.389,430537.382,4581664.458,2.169232,41.383508
108608,2, ,2,1,1,20,148,1,430618.986,4581867.63,430527.053,4581666.699,2.169108,41.383527
108608,3, ,1,1,1,20,148,1,430629.316,4581865.389,430537.382,4581664.458,2.169232,41.383508
108608,4, ,2,1,1,20,148,1,430618.986,4581867.63,430527.053,4581666.699,2.169108,41.383527
108608,5, ,1,1,1,20,148,1,430629.316,4581865.389,430537.382,4581664.458,2.169232,41.383508
108608,6, ,2,1,1,20,148,1,430630.239,4581855.712,430538.305,4581654.781,2.169244,41.383421
108608,7, ,1,1,1,20,148,1,430639.158,4581854.869,430547.224,4581653.938,2.169351,41.383414
108608,8, ,2,1,1,20,148,1,430637.257,4581848.248,430545.323,4581647.317,2.169329,41.383354
108608,9, ,1,1,1,20,148,1,430646.293,4581847.459,430554.359,4581646.528,2.169437,41.383348
108608,10, ,2,1,1,20,148,1,430645.896,4581838.992,430553.962,4581638.061,2.169433,41.383272
108608,11, ,1,1,1,20,148,1,430646.293,4581847.459,430554.359,4581646.528,2.169437,41.383348
108608,12, ,2,1,1,20,148,1,430659.902,4581824.985,430567.968,4581624.054,2.169602,41.383147
108608,13, ,1,1,1,20,148,1,430662.111,4581830.767,430570.177,4581629.836,2.169628,41.383199
108608,14, ,2,1,1,20,148,1,430659.902,4581824.985,430567.968,4581624.054,2.169602,41.383147
108608,15, ,1,1,1,20,148,1,430669.692,4581823.565,430577.758,4581622.634,2.16972,41.383135
108608,16, ,2,1,1,20,148,1,430671.273,4581814.013,430579.339,4581613.082,2.16974,41.383049
108608,17, ,1,1,1,20,148,1,430675.342,4581817.749,430583.408,4581616.818,2.169788,41.383083
