NUM_LLETRA_POST;ETRS89_COORD_X;ETRS89_COORD_Y;NUM_OFICIAL
2;425569.079;4583126.843;2
4;425547.191;4583119.130;4
6;425523.773;4583104.854;6
7;425495.375;4583071.292;7
8;425505.247;4583087.552;8
9;425462.946;4583061.298;9
10;425478.610;4583091.611;10
11;425432.316;4583051.497;11
12;425430.348;4583077.561;12
13;425391.318;4583039.518;13
14;425430.348;4583077.561;14
15;425358.016;4583029.447;15
16;425430.348;4583077.561;16
17;425316.828;4583016.927;17
18;425380.790;4583063.320;18
19;425316.828;4583016.927;19
20;425365.512;4583058.873;20
21;425255.880;4582988.119;21
22;425336.427;4583050.430;22
22B;425356.578;4583056.309;22B
23;425255.880;4582988.119;23
24;425309.705;4583042.579;24
25;425255.880;4582988.119;25
26;425288.150;4583036.371;26
27;425200.254;4582961.008;27
28;425265.918;4583029.909;28
29;425200.254;4582961.008;29
30;425265.918;4583029.909;30
32;425238.706;4583020.505;32
34;425238.706;4583020.505;34
36;425213.604;4582999.775;36
38;425213.604;4582999.775;38
