NUM_LLETRA_POST;ETRS89_COORD_X;ETRS89_COORD_Y;NUM_OFICIAL
18;432822.355;4582710.680;18
20;432758.616;4582765.968;20
21;432761.561;4582732.108;21
22;432758.616;4582765.968;22
23;432761.561;4582732.108;23
24;432758.616;4582765.968;24
25;432761.561;4582732.108;25
26;432758.616;4582765.968;26
27;432761.561;4582732.108;27
28;432758.616;4582765.968;28
29;432747.667;4582746.115;29
30;432758.616;4582765.968;30
31;432739.883;4582753.963;31
32;432758.616;4582765.968;32
33;432733.061;4582760.839;33
34;432758.616;4582765.968;34
35;432728.769;4582765.167;35
36;432758.616;4582765.968;36
37;432724.536;4582769.436;37
38;432690.558;4582834.749;38
39;432720.400;4582773.606;39
40;432690.558;4582834.749;40
41;432715.558;4582778.488;41
42;432647.362;4582877.605;42
42X;432675.749;4582849.283;42X
43;432670.852;4582822.737;43
43X;432660.642;4582833.177;43X
44;432647.362;4582877.605;44
45;432640.124;4582853.901;45
45I;432640.124;4582853.901;45I
46;432647.362;4582877.605;46
47;432640.124;4582853.901;47
48;432647.362;4582877.605;48
49;432640.124;4582853.901;49
50;432647.362;4582877.605;50
51;432620.276;4582873.941;51
52;432647.362;4582877.605;52
53;432576.363;4582918.642;53
54;432647.362;4582877.605;54
55;432576.363;4582918.642;55
56;432605.295;4582929.263;56
57;432566.764;4582927.931;57
58;432591.049;4582934.814;58
59;432560.344;4582934.391;59
60;432581.495;4582944.450;60
61;432538.835;4582955.996;61
62;432571.729;4582954.363;62
63;432538.835;4582955.996;63
64;432563.137;4582962.709;64
65;432538.835;4582955.996;65
66;432547.935;4582978.242;66
67;432538.835;4582955.996;67
68;432547.935;4582978.242;68
69;432538.835;4582955.996;69
70;432547.935;4582978.242;70
71;432483.214;4583012.458;71
72;432500.509;4583025.657;72
73;432483.214;4583012.458;73
74;432500.509;4583025.657;74
75;432396.650;4583011.029;75
76;432488.306;4583038.026;76
77;432454.451;4583041.453;77
78;432464.961;4583061.471;78
79;432447.196;4583048.765;79
80;432453.530;4583072.721;80
81;432437.957;4583058.103;81
82;432453.530;4583072.721;82
83;432428.217;4583067.915;83
84;432442.465;4583088.201;84
85;432384.742;4583110.815;85
86;432406.165;4583120.697;86
87;432384.742;4583110.815;87
88;432395.024;4583131.828;88
89;432384.742;4583110.815;89
90;432378.504;4583148.359;90
91;432372.676;4583122.904;91
92;432361.422;4583165.452;92
93;432359.034;4583136.562;93
94;432361.422;4583165.452;94
95;432359.034;4583136.562;95
96;432285.802;4583240.842;96
97;432359.034;4583136.562;97
98;432285.802;4583240.842;98
99;432359.034;4583136.562;99
100;432285.802;4583240.842;100
101;432330.082;4583162.773;101
102;432269.502;4583257.612;102
102B;432272.358;4583254.747;102B
103;432287.528;4583208.076;103
104;432263.231;4583264.067;104
105;432287.528;4583208.076;105
106;432218.602;4583308.378;106
107;432257.452;4583238.303;107
108;432200.998;4583325.974;108
109;432257.452;4583238.303;109
110;432200.998;4583325.974;110
111;432257.452;4583238.303;111
112;432182.959;4583343.997;112
112B;432182.959;4583343.997;112B
113;432257.452;4583238.303;113
114;432167.281;4583359.687;114
115;432198.545;4583297.403;115
115B;432198.545;4583297.403;115B
116;432167.281;4583359.687;116
117;432198.545;4583297.403;117
119;432182.913;4583313.160;119
121;432182.913;4583313.160;121
122X;432119.986;4583467.897;122X
123;432153.891;4583342.177;123
123X;432163.640;4583312.582;123X
125;432153.891;4583342.177;125
127;432100.509;4583395.892;127
128;432080.190;4583449.420;128
129;432100.509;4583395.892;129
131;432100.509;4583395.892;131
133;432060.304;4583436.039;133
