CODI_CARRER,NUMPOST,LLEPOST,TIPUSNUM,DTE,DIST_POST,SECC_CENS,SECC_EST,BARRI,ED50_COORD_X,ED50_COORD_Y,ETRS89_COORD_X,ETRS89_COORD_Y,LONGITUD,LATITUD
99507,1, ,1,5,34,10,167,23,426689.222,4583628.473,426597.325,4583427.527,2.121901,41.399037
99507,2, ,2,5,34,10,167,23,426691.053,4583637.311,426599.156,4583436.365,2.121922,41.399117
99507,2,B,2,5,34,10,167,23,426688.503,4583635.355,426596.606,4583434.409,2.121891,41.399099
99507,3, ,1,5,34,10,167,23,426673.082,4583616.481,426581.185,4583415.535,2.121709,41.398928
99507,4, ,2,5,34,10,167,23,426674.588,4583625.064,426582.691,4583424.118,2.121726,41.399005
99507,5, ,1,5,34,10,167,23,426666.975,4583613.565,426575.078,4583412.619,2.121636,41.398901
99507,6, ,2,5,34,10,167,23,426674.588,4583625.064,426582.691,4583424.118,2.121726,41.399005
99507,7, ,1,5,34,10,167,23,426664.722,4583616.133,426572.826,4583415.187,2.121609,41.398924
99507,8, ,2,5,34,10,167,23,426674.588,4583625.064,426582.691,4583424.118,2.121726,41.399005
99507,9, ,1,5,34,10,167,23,426660.448,4583621.004,426568.552,4583420.058,2.121557,41.398968
99507,10, ,2,5,34,10,167,23,426663.477,4583625.671,426571.581,4583424.725,2.121593,41.39901
99507,11, ,1,5,34,10,167,23,426660.448,4583621.004,426568.552,4583420.058,2.121557,41.398968
99507,13, ,1,5,34,10,167,23,426660.448,4583621.004,426568.552,4583420.058,2.121557,41.398968
