CODI_CARRER,NUMPOST,LLEPOST,TIPUSNUM,DTE,DIST_POST,SECC_CENS,SECC_EST,BARRI,ED50_COORD_X,ED50_COORD_Y,ETRS89_COORD_X,ETRS89_COORD_Y,LONGITUD,LATITUD
171400,39, ,1,10,5,51,13,67,432559.755,4582833.402,432467.804,4582632.461,2.19221,41.392391
171400,41, ,1,10,5,51,13,67,432559.755,4582833.402,432467.804,4582632.461,2.19221,41.392391
171400,43, ,1,10,5,51,13,67,432559.755,4582833.402,432467.804,4582632.461,2.19221,41.392391
171400,45, ,1,10,5,51,13,67,432559.755,4582833.402,432467.804,4582632.461,2.19221,41.392391
171400,47, ,1,10,5,51,13,67,432559.755,4582833.402,432467.804,4582632.461,2.19221,41.392391
171400,49, ,1,10,5,51,13,67,432538.201,4582855.246,432446.25,4582654.305,2.191949,41.392586
171400,50, ,2,10,5,52,15,67,432582.496,4582842.46,432490.545,4582641.519,2.192481,41.392475
171400,51, ,1,10,5,51,13,67,432538.201,4582855.246,432446.25,4582654.305,2.191949,41.392586
171400,52, ,2,10,5,52,15,67,432582.496,4582842.46,432490.545,4582641.519,2.192481,41.392475
171400,53, ,1,10,5,51,13,67,432538.201,4582855.246,432446.25,4582654.305,2.191949,41.392586
171400,54, ,2,10,5,52,15,67,432582.496,4582842.46,432490.545,4582641.519,2.192481,41.392475
171400,55, ,1,10,5,50,13,66,432461.855,4582934.779,432369.905,4582733.838,2.191027,41.393296
171400,56, ,2,10,5,52,15,67,432569.137,4582856.894,432477.186,4582655.953,2.192319,41.392603
171400,57, ,1,10,5,50,13,66,432451.758,4582945.336,432359.808,4582744.394,2.190905,41.39339
171400,58, ,2,10,5,52,15,67,432569.137,4582856.894,432477.186,4582655.953,2.192319,41.392603
171400,59, ,1,10,5,50,13,66,432451.758,4582945.336,432359.808,4582744.394,2.190905,41.39339
171400,60, ,2,10,5,52,15,67,432569.137,4582856.894,432477.186,4582655.953,2.192319,41.392603
171400,61, ,1,10,5,50,13,66,432443.349,4582954.404,432351.399,4582753.462,2.190804,41.393471
171400,62, ,2,10,5,52,15,67,432565.642,4582902.754,432473.691,4582701.813,2.192272,41.393016
171400,63, ,1,10,5,50,13,66,432443.349,4582954.404,432351.399,4582753.462,2.190804,41.393471
171400,64, ,2,10,5,52,15,67,432551.908,4582925.091,432459.957,4582724.15,2.192106,41.393216
171400,65,I,1,10,5,50,13,66,432423.122,4582950.186,432331.172,4582749.244,2.190562,41.393431
171400,65, ,1,10,5,50,13,66,432435.19,4582962.79,432343.24,4582761.848,2.190705,41.393546
171400,66, ,2,10,5,43,15,66,432494.254,4582942.202,432402.304,4582741.26,2.191414,41.393365
171400,67, ,1,10,5,50,13,66,432435.19,4582962.79,432343.24,4582761.848,2.190705,41.393546
171400,68, ,2,10,5,43,15,66,432478.764,4582949.429,432386.814,4582748.487,2.191228,41.393429
