NUM_LLETRA_POST;ETRS89_COORD_X;ETRS89_COORD_Y
1U;427407.992;4575059.093
2;427585.527;4575286.444
3;427456.961;4575128.792
4;427585.527;4575286.444
5;427456.961;4575128.792
6;427585.527;4575286.444
7;427551.984;4575330.386
8;427585.527;4575286.444
9;427551.984;4575330.386
10;427585.527;4575286.444
11;427551.984;4575330.386
12;427585.527;4575286.444
13;427551.984;4575330.386
14;427585.527;4575286.444
15;427551.984;4575330.386
16;427585.527;4575286.444
17;427551.984;4575330.386
18;427585.527;4575286.444
19;427551.984;4575330.386
20;427585.527;4575286.444
21;427615.971;4575465.544
22;427585.527;4575286.444
23;427615.971;4575465.544
24;427585.527;4575286.444
25;427615.971;4575465.544
26;427585.527;4575286.444
27;427707.646;4575655.541
28;427772.545;4575576.071
29;427723.068;4575687.525
30;427858.842;4575816.887
31;427756.087;4575755.997
32;427858.842;4575816.887
33;427756.087;4575755.997
34;427858.842;4575816.887
35;427756.087;4575755.997
36;427858.842;4575816.887
37;427789.245;4575825.017
38;427858.842;4575816.887
39;427826.063;4575901.705
40;427858.842;4575816.887
41;427826.063;4575901.705
42;427858.842;4575816.887
43;427826.063;4575901.705
44;427858.842;4575816.887
45;427857.564;4575979.667
46;427858.842;4575816.887
47;427857.564;4575979.667
48;427858.842;4575816.887
48X;427929.577;4575979.240
49;427857.564;4575979.667
51;428126.272;4576530.664
61;428129.051;4576539.739
63;428129.051;4576539.739
65;428129.051;4576539.739
67;428129.051;4576539.739
69;428129.051;4576539.739
71;428129.051;4576539.739
73;428129.051;4576539.739
75;428129.051;4576539.739
77;428129.051;4576539.739
79;428129.051;4576539.739
81;428305.083;4576910.605
83;428305.083;4576910.605
85;428305.083;4576910.605
87;428305.083;4576910.605
89;428305.083;4576910.605
91;428305.083;4576910.605
93;428403.338;4577115.378
95;428403.338;4577115.378
97;428448.517;4577210.662
99;428448.517;4577210.662
101;428448.517;4577210.662
103;428448.517;4577210.662
104;428496.750;4577196.929
105;428485.518;4577286.842
106;428496.750;4577196.929
107;428485.518;4577286.842
107B;428489.516;4577327.320
109;428543.587;4577409.114
111;428566.567;4577457.646
113;428566.567;4577457.646
115;428589.242;4577510.050
117;428593.174;4577577.768
119;428593.174;4577577.768
