CODI_CARRER,NUMPOST,LLEPOST,TIPUSNUM,DTE,DIST_POST,SECC_CENS,SECC_EST,BARRI,ED50_COORD_X,ED50_COORD_Y,ETRS89_COORD_X,ETRS89_COORD_Y,LONGITUD,LATITUD
146607,1, ,1,9,33,1,154,57,432404.151,4589599.047,432312.203,4589398.044,2.189591,41.453313
146607,2, ,2,9,33,1,154,57,432405.018,4589608.778,432313.07,4589407.775,2.189601,41.453401
146607,3, ,1,9,33,1,154,57,432404.151,4589599.047,432312.203,4589398.044,2.189591,41.453313
146607,4, ,2,9,33,1,154,57,432405.018,4589608.778,432313.07,4589407.775,2.189601,41.453401
146607,6, ,2,9,33,1,154,57,432414.206,4589598.939,432322.258,4589397.936,2.189712,41.453313
