CODI_CARRER,NUMPOST,LLEPOST,TIPUSNUM,DTE,DIST_POST,SECC_CENS,SECC_EST,BARRI,ED50_COORD_X,ED50_COORD_Y,ETRS89_COORD_X,ETRS89_COORD_Y,LONGITUD,LATITUD
318000,1, ,1,6,12,36,98,31,429170.402,4584545.526,429078.483,4584344.571,2.151472,41.40752
318000,2, ,2,6,12,36,99,31,429170.324,4584534.494,429078.405,4584333.539,2.151472,41.40742
318000,3, ,1,6,12,36,98,31,429170.402,4584545.526,429078.483,4584344.571,2.151472,41.40752
318000,4, ,2,6,12,36,99,31,429179.465,4584537.03,429087.546,4584336.075,2.151581,41.407444
318000,5, ,1,6,12,36,98,31,429190.88,4584556.877,429098.96,4584355.922,2.151715,41.407624
318000,6, ,2,6,12,36,99,31,429188.718,4584540.83,429096.798,4584339.875,2.151691,41.407479
318000,7, ,1,6,12,36,98,31,429190.88,4584556.877,429098.96,4584355.922,2.151715,41.407624
318000,8, ,2,6,12,36,99,31,429188.718,4584540.83,429096.798,4584339.875,2.151691,41.407479
318000,9, ,1,6,12,36,98,31,429210.93,4584567.926,429119.01,4584366.97,2.151954,41.407725
318000,10, ,2,6,12,36,99,31,429208.897,4584546.647,429116.977,4584345.692,2.151932,41.407533
318000,11, ,1,6,12,36,98,31,429223.355,4584574.951,429131.435,4584373.995,2.152102,41.407789
318000,12, ,2,6,12,36,99,31,429208.897,4584546.647,429116.977,4584345.692,2.151932,41.407533
318000,13, ,1,6,12,36,98,31,429235.459,4584581.607,429143.539,4584380.651,2.152246,41.40785
318000,14, ,2,6,12,36,99,31,429220.632,4584549.688,429128.712,4584348.733,2.152072,41.407562
318000,15, ,1,6,12,36,98,31,429246.835,4584587.854,429154.915,4584386.898,2.152381,41.407908
318000,16, ,2,6,12,36,99,31,429223.537,4584563.871,429131.617,4584362.915,2.152105,41.40769
318000,17, ,1,6,12,36,98,31,429258.931,4584594.425,429167.011,4584393.469,2.152525,41.407968
318000,18, ,2,6,12,36,99,31,429223.537,4584563.871,429131.617,4584362.915,2.152105,41.40769
318000,19, ,1,6,12,36,98,31,429269.89,4584600.381,429177.97,4584399.425,2.152655,41.408022
318000,20, ,2,6,12,36,99,31,429232.554,4584568.906,429140.634,4584367.95,2.152212,41.407736
318000,22, ,2,6,12,36,99,31,429238.292,4584571.982,429146.372,4584371.026,2.152281,41.407764
318000,24, ,2,6,12,36,99,31,429244.777,4584575.644,429152.857,4584374.688,2.152358,41.407797
318000,26, ,2,6,12,36,99,31,429251.014,4584579.115,429159.094,4584378.159,2.152432,41.407829
318000,28, ,2,6,12,36,99,31,429257.23,4584582.622,429165.31,4584381.666,2.152506,41.407861
318000,30, ,2,6,12,36,99,31,429263.109,4584585.664,429171.189,4584384.708,2.152576,41.407889
318000,32, ,2,6,12,36,99,31,429273.472,4584591.531,429181.552,4584390.575,2.152699,41.407943
