NUM_LLETRA_POST;ETRS89_COORD_X;ETRS89_COORD_Y;NUM_OFICIAL
1;432344.766;4584576.523;1
1B;432352.635;4584591.855;1B
2;432333.744;4584532.850;2
3;432352.635;4584591.855;3
4;432339.964;4584547.088;4
5;432363.702;4584613.048;5
6;432346.333;4584559.732;6
7;432365.940;4584617.364;7
8;432358.791;4584583.506;8
9;432370.145;4584625.476;9
10;432358.791;4584583.506;10
11;432372.109;4584629.265;11
11B;432375.075;4584634.609;11B
12;432358.791;4584583.506;12
13;432375.075;4584634.609;13
14;432378.030;4584620.408;14
15;432375.075;4584634.609;15
15B;432383.862;4584651.798;15B
16;432392.657;4584648.878;16
17;432403.652;4584688.917;17
18;432392.657;4584648.878;18
19;432403.652;4584688.917;19
20;432392.657;4584648.878;20
21;432424.998;4584728.799;21
22;432392.657;4584648.878;22
23;432424.998;4584728.799;23
24;432428.910;4584714.678;24
25;432424.998;4584728.799;25
26;432428.910;4584714.678;26
27;432424.998;4584728.799;27
28;432428.910;4584714.678;28
29;432424.998;4584728.799;29
30;432428.910;4584714.678;30
31;432424.998;4584728.799;31
32;432428.910;4584714.678;32
33;432424.998;4584728.799;33
34;432428.910;4584714.678;34
35;432424.998;4584728.799;35
36;432479.532;4584820.738;36
37;432424.998;4584728.799;37
38;432479.532;4584820.738;38
39;432424.998;4584728.799;39
40;432479.532;4584820.738;40
41;432424.998;4584728.799;41
42;432479.532;4584820.738;42
43;432424.998;4584728.799;43
44;432479.532;4584820.738;44
45;432424.998;4584728.799;45
46;432479.532;4584820.738;46
46B;432479.532;4584820.738;46B
46X;432482.045;4584841.256;46X
47;432424.998;4584728.799;47
49;432424.998;4584728.799;49
51;432424.998;4584728.799;51
53;432424.998;4584728.799;53
55;432424.998;4584728.799;55
57;432424.998;4584728.799;57
59;432424.998;4584728.799;59
