NUM_LLETRA_POST;ETRS89_COORD_X;ETRS89_COORD_Y;NUM_OFICIAL
1;431403.633;4582297.319;1
2;431415.262;4582285.117;2
3;431403.633;4582297.319;3
4;431418.700;4582296.073;4
5;431408.945;4582309.000;5
6;431421.568;4582306.333;6
7;431413.507;4582319.655;7
7B;431417.542;4582329.957;7B
8;431425.198;4582317.292;8
9;431425.080;4582341.047;9
10;431425.198;4582317.292;10
11;431427.792;4582352.815;11
12;431429.768;4582327.966;12
13;431425.186;4582363.303;13
14;431433.059;4582335.882;14
15;431432.651;4582369.217;15
16;431437.940;4582347.881;16
17;431436.224;4582388.208;17
18;431443.578;4582359.217;18
19;431436.224;4582388.208;19
19B;431456.339;4582416.320;19B
19U;431452.156;4582402.983;19U
20;431451.264;4582370.090;20
21;431462.972;4582430.619;21
22;431451.264;4582370.090;22
23;431462.972;4582430.619;23
24;431483.241;4582409.789;24
