CODI_CARRER,NUMPOST,LLEPOST,TIPUSNUM,DTE,DIST_POST,SECC_CENS,SECC_EST,BARRI,ED50_COORD_X,ED50_COORD_Y,ETRS89_COORD_X,ETRS89_COORD_Y,LONGITUD,LATITUD
324807,1, ,1,1,3,39,11,3,432283.998,4581405.543,432192.049,4581204.616,2.189071,41.379508
324807,2, ,2,1,3,39,11,3,432275.753,4581401.686,432183.804,4581200.759,2.188973,41.379472
324807,3, ,1,1,3,39,11,3,432283.998,4581405.543,432192.049,4581204.616,2.189071,41.379508
324807,4, ,2,1,3,39,11,3,432275.753,4581401.686,432183.804,4581200.759,2.188973,41.379472
324807,5, ,1,1,3,39,11,3,432283.998,4581405.543,432192.049,4581204.616,2.189071,41.379508
324807,6, ,2,1,3,39,11,3,432275.753,4581401.686,432183.804,4581200.759,2.188973,41.379472
324807,7, ,1,1,3,39,11,3,432289.364,4581386.944,432197.415,4581186.017,2.189138,41.379341
324807,8, ,2,1,3,39,11,3,432282.618,4581377.762,432190.669,4581176.835,2.189058,41.379257
324807,9, ,1,1,3,39,11,3,432290.223,4581383.952,432198.274,4581183.025,2.189148,41.379314
324807,10, ,2,1,3,39,11,3,432282.618,4581377.762,432190.669,4581176.835,2.189058,41.379257
324807,11, ,1,1,3,39,11,3,432292.542,4581375.888,432200.593,4581174.961,2.189177,41.379241
324807,12, ,2,1,3,39,11,3,432282.618,4581377.762,432190.669,4581176.835,2.189058,41.379257
324807,13, ,1,1,3,39,8,3,432300.076,4581349.758,432208.127,4581148.831,2.18927,41.379007
324807,14, ,2,1,3,39,8,3,432289.903,4581353.116,432197.954,4581152.189,2.189148,41.379036
324807,15, ,1,1,3,39,8,3,432300.076,4581349.758,432208.127,4581148.831,2.18927,41.379007
324807,16, ,2,1,3,39,8,3,432291.503,4581347.537,432199.554,4581146.61,2.189168,41.378986
324807,17, ,1,1,3,39,8,3,432302.222,4581342.099,432210.273,4581141.172,2.189296,41.378938
324807,18, ,2,1,3,39,8,3,432294.116,4581338.758,432202.167,4581137.831,2.1892,41.378907
324807,19, ,1,1,3,39,8,3,432304.098,4581334.847,432212.149,4581133.92,2.18932,41.378873
324807,20, ,2,1,3,39,8,3,432297.333,4581327.06,432205.384,4581126.134,2.18924,41.378802
324807,21, ,1,1,3,39,8,3,432307.072,4581325.746,432215.123,4581124.82,2.189356,41.378791
324807,22, ,2,1,3,39,8,3,432297.333,4581327.06,432205.384,4581126.134,2.18924,41.378802
324807,23, ,1,1,3,39,8,3,432308.882,4581318.533,432216.933,4581117.607,2.189379,41.378726
324807,24, ,2,1,3,39,8,3,432301.182,4581314.36,432209.233,4581113.434,2.189287,41.378688
324807,25, ,1,1,3,39,8,3,432311.216,4581310.903,432219.267,4581109.977,2.189407,41.378658
324807,26, ,2,1,3,39,8,3,432304.054,4581303.38,432212.105,4581102.454,2.189323,41.378589
324807,27, ,1,1,3,39,8,3,432314.047,4581300.902,432222.098,4581099.976,2.189442,41.378568
324807,28, ,2,1,3,39,8,3,432304.054,4581303.38,432212.105,4581102.454,2.189323,41.378589
324807,29, ,1,1,3,39,8,3,432315.9,4581294.87,432223.951,4581093.944,2.189465,41.378514
324807,30, ,2,1,3,39,8,3,432307.255,4581291.974,432215.306,4581091.048,2.189362,41.378487
324807,31, ,1,1,3,39,8,3,432315.9,4581294.87,432223.951,4581093.944,2.189465,41.378514
324807,32, ,2,1,3,39,8,3,432307.255,4581291.974,432215.306,4581091.048,2.189362,41.378487
324807,33, ,1,1,3,33,6,3,432325.73,4581259.898,432233.781,4581058.972,2.189587,41.378199
324807,34, ,2,1,3,33,6,3,432317.024,4581257.915,432225.075,4581056.989,2.189483,41.378181
324807,35, ,1,1,3,33,6,3,432325.73,4581259.898,432233.781,4581058.972,2.189587,41.378199
324807,36, ,2,1,3,33,6,3,432317.024,4581257.915,432225.075,4581056.989,2.189483,41.378181
324807,37, ,1,1,3,33,6,3,432327.423,4581254.092,432235.474,4581053.166,2.189607,41.378147
324807,38, ,2,1,3,33,6,3,432318.185,4581253.839,432226.236,4581052.913,2.189497,41.378144
324807,39, ,1,1,3,33,6,3,432329.97,4581245.3,432238.021,4581044.374,2.189639,41.378068
324807,40, ,2,1,3,33,6,3,432320.472,4581245.842,432228.523,4581044.916,2.189525,41.378072
324807,41, ,1,1,3,33,6,3,432332.69,4581235.884,432240.741,4581034.958,2.189672,41.377984
324807,42, ,2,1,3,33,6,3,432322.758,4581237.868,432230.809,4581036.942,2.189554,41.378001
324807,43, ,1,1,3,33,6,3,432333.708,4581232.36,432241.759,4581031.434,2.189685,41.377952
324807,44, ,2,1,3,33,6,3,432325.166,4581229.47,432233.217,4581028.544,2.189583,41.377925
324807,45, ,1,1,3,33,6,3,432337.562,4581219.009,432245.612,4581018.084,2.189733,41.377832
324807,46, ,2,1,3,33,6,3,432328.932,4581216.345,432236.983,4581015.42,2.18963,41.377807
324807,47, ,1,1,3,33,6,3,432341.374,4581205.596,432249.424,4581004.671,2.18978,41.377712
324807,48, ,2,1,3,33,6,3,432332.286,4581207.454,432240.337,4581006.529,2.189671,41.377728
324807,49, ,1,1,3,33,6,3,432341.374,4581205.596,432249.424,4581004.671,2.18978,41.377712
324807,50, ,2,1,3,33,6,3,432332.286,4581207.454,432240.337,4581006.529,2.189671,41.377728
