CODI_CARRER,NUMPOST,LLEPOST,TIPUSNUM,DTE,DIST_POST,SECC_CENS,SECC_EST,BARRI,ED50_COORD_X,ED50_COORD_Y,ETRS89_COORD_X,ETRS89_COORD_Y,LONGITUD,LATITUD
235300,1, ,1,1,3,45,27,4,431788.223,4581861.138,431696.279,4581660.207,2.183091,41.383569
235300,2, ,2,1,3,45,27,4,431791.278,4581866.502,431699.334,4581665.571,2.183127,41.383618
235300,3, ,1,1,3,45,27,4,431791.826,4581881.736,431699.882,4581680.805,2.183132,41.383755
235300,4, ,2,1,3,45,27,4,431791.826,4581881.736,431699.882,4581680.805,2.183132,41.383755
235300,5, ,1,1,3,45,27,4,431794.829,4581888.659,431702.885,4581687.727,2.183167,41.383817
235300,6, ,2,1,3,45,27,4,431797.103,4581893.826,431705.159,4581692.894,2.183194,41.383864
235300,7, ,1,1,3,45,27,4,431801.653,4581904.025,431709.709,4581703.093,2.183247,41.383956
235300,8, ,2,1,3,43,25,4,431811.419,4581905.803,431719.475,4581704.871,2.183364,41.383973
235300,9,B,1,1,3,43,25,4,431808.395,4581877.262,431716.451,4581676.331,2.183331,41.383716
235300,9, ,1,1,3,43,25,4,431814.196,4581886.474,431722.252,4581685.542,2.183399,41.383799
235300,10, ,2,1,3,43,25,4,431798.345,4581860.262,431706.401,4581659.331,2.183213,41.383562
235300,11, ,1,1,3,43,25,4,431798.345,4581860.262,431706.401,4581659.331,2.183213,41.383562
