CODI_CARRER,NUMPOST,LLEPOST,TIPUSNUM,DTE,DIST_POST,SECC_CENS,SECC_EST,BARRI,ED50_COORD_X,ED50_COORD_Y,ETRS89_COORD_X,ETRS89_COORD_Y,LONGITUD,LATITUD
68900,149, ,1,2,13,22,273,6,431941.594,4584042.963,431849.649,4583842.011,2.18468,41.403233
68900,151, ,1,2,13,22,273,6,431904.036,4584081.811,431812.091,4583880.859,2.184226,41.40358
68900,153, ,1,2,13,22,273,6,431904.036,4584081.811,431812.091,4583880.859,2.184226,41.40358
68900,155, ,1,2,13,22,273,6,431904.036,4584081.811,431812.091,4583880.859,2.184226,41.40358
68900,160, ,2,2,13,22,273,6,431919.528,4584097.434,431827.583,4583896.482,2.18441,41.403722
68900,162, ,2,2,13,22,273,6,431906.328,4584111.136,431814.383,4583910.184,2.184251,41.403844
68900,163, ,1,2,13,22,273,6,431855.933,4584131.133,431763.989,4583930.181,2.183645,41.40402
68900,164, ,2,2,13,22,273,6,431872.103,4584146.19,431780.159,4583945.238,2.183837,41.404157
68900,165, ,1,2,13,22,273,6,431855.933,4584131.133,431763.989,4583930.181,2.183645,41.40402
68900,166, ,2,2,13,22,273,6,431872.103,4584146.19,431780.159,4583945.238,2.183837,41.404157
68900,167, ,1,2,13,22,273,6,431855.933,4584131.133,431763.989,4583930.181,2.183645,41.40402
68900,168, ,2,2,13,22,273,6,431828.548,4584194.706,431736.604,4583993.753,2.183311,41.40459
68900,170, ,2,2,13,22,273,6,431819.628,4584200.372,431727.684,4583999.419,2.183203,41.40464
68900,171, ,1,2,13,23,274,6,431803.684,4584185.238,431711.74,4583984.285,2.183014,41.404503
68900,172, ,2,2,13,22,273,6,431819.628,4584200.372,431727.684,4583999.419,2.183203,41.40464
68900,173, ,1,2,13,23,274,6,431803.684,4584185.238,431711.74,4583984.285,2.183014,41.404503
68900,174, ,2,2,13,22,273,6,431806.23,4584213.912,431714.286,4584012.959,2.183042,41.404761
68900,175, ,1,2,13,23,274,6,431803.684,4584185.238,431711.74,4583984.285,2.183014,41.404503
68900,176, ,2,2,13,22,273,6,431806.23,4584213.912,431714.286,4584012.959,2.183042,41.404761
68900,177, ,1,2,13,23,274,6,431803.684,4584185.238,431711.74,4583984.285,2.183014,41.404503
68900,178, ,2,2,13,22,273,6,431783.771,4584237,431691.827,4584036.047,2.18277,41.404967
68900,179, ,1,2,13,23,274,6,431803.684,4584185.238,431711.74,4583984.285,2.183014,41.404503
68900,180, ,2,2,13,22,273,6,431783.771,4584237,431691.827,4584036.047,2.18277,41.404967
68900,181, ,1,2,13,23,274,6,431782.526,4584206.91,431690.582,4584005.957,2.182759,41.404696
68900,182, ,2,2,13,22,273,6,431783.771,4584237,431691.827,4584036.047,2.18277,41.404967
68900,183, ,1,2,13,23,274,6,431782.526,4584206.91,431690.582,4584005.957,2.182759,41.404696
68900,184, ,2,2,13,22,273,6,431783.771,4584237,431691.827,4584036.047,2.18277,41.404967
68900,185, ,1,2,13,23,274,6,431782.526,4584206.91,431690.582,4584005.957,2.182759,41.404696
68900,186, ,2,2,13,22,273,6,431783.771,4584237,431691.827,4584036.047,2.18277,41.404967
68900,187, ,1,2,13,23,274,6,431760.957,4584229.018,431669.014,4584028.065,2.182498,41.404893
68900,188, ,2,2,13,30,276,6,431727.972,4584297.734,431636.029,4584096.78,2.182096,41.405509
68900,189, ,1,2,13,23,274,6,431760.957,4584229.018,431669.014,4584028.065,2.182498,41.404893
68900,190, ,2,2,13,30,276,6,431710.424,4584312.267,431618.481,4584111.313,2.181884,41.405639
68900,191, ,1,2,13,23,274,6,431760.957,4584229.018,431669.014,4584028.065,2.182498,41.404893
68900,192, ,2,2,13,30,276,6,431710.424,4584312.267,431618.481,4584111.313,2.181884,41.405639
68900,193, ,1,2,13,23,274,6,431760.957,4584229.018,431669.014,4584028.065,2.182498,41.404893
68900,194, ,2,2,13,30,276,6,431710.424,4584312.267,431618.481,4584111.313,2.181884,41.405639
68900,195, ,1,2,13,29,275,6,431702.982,4584288.582,431611.039,4584087.628,2.181798,41.405425
68900,196, ,2,2,13,30,276,6,431710.424,4584312.267,431618.481,4584111.313,2.181884,41.405639
68900,197, ,1,2,13,29,275,6,431702.982,4584288.582,431611.039,4584087.628,2.181798,41.405425
68900,198, ,2,2,13,30,276,6,431694.799,4584328.32,431602.856,4584127.366,2.181696,41.405782
68900,199, ,1,2,13,29,275,6,431694.16,4584297.625,431602.217,4584096.671,2.181691,41.405506
68900,200, ,2,2,13,30,276,6,431688.926,4584334.325,431596.983,4584133.371,2.181625,41.405836
68900,201, ,1,2,13,29,275,6,431694.16,4584297.625,431602.217,4584096.671,2.181691,41.405506
68900,202, ,2,2,13,30,276,6,431683.09,4584340.303,431591.147,4584139.349,2.181554,41.405889
68900,203, ,1,2,13,29,275,6,431682.422,4584309.566,431590.479,4584108.612,2.18155,41.405612
68900,204, ,2,2,13,30,276,6,431678.154,4584345.404,431586.211,4584144.45,2.181495,41.405935
68900,205, ,1,2,13,29,275,6,431678.114,4584314.032,431586.171,4584113.078,2.181498,41.405652
68900,206, ,2,2,13,30,276,6,431674.274,4584349.388,431582.332,4584148.434,2.181448,41.40597
68900,207, ,1,2,13,29,275,6,431665.867,4584326.638,431573.925,4584125.684,2.18135,41.405764
68900,208, ,2,2,13,31,277,6,431622.135,4584402.684,431530.193,4584201.729,2.180818,41.406446
68900,209, ,1,2,13,29,275,6,431658.678,4584334.006,431566.736,4584133.052,2.181263,41.40583
68900,210, ,2,2,13,31,277,6,431622.135,4584402.684,431530.193,4584201.729,2.180818,41.406446
68900,211, ,1,2,13,28,278,6,431619.014,4584374.428,431527.072,4584173.473,2.180784,41.406191
68900,212, ,2,2,13,31,277,6,431622.135,4584402.684,431530.193,4584201.729,2.180818,41.406446
68900,213, ,1,2,13,28,278,6,431614.472,4584379.038,431522.53,4584178.083,2.180729,41.406232
68900,214, ,2,2,13,31,277,6,431622.135,4584402.684,431530.193,4584201.729,2.180818,41.406446
68900,215, ,1,2,13,28,278,6,431608.299,4584385.372,431516.357,4584184.417,2.180654,41.406289
68900,216, ,2,2,13,31,277,6,431622.135,4584402.684,431530.193,4584201.729,2.180818,41.406446
68900,217, ,1,2,13,28,278,6,431602.442,4584391.374,431510.5,4584190.419,2.180584,41.406342
68900,218, ,2,2,13,31,277,6,431601.816,4584423.492,431509.874,4584222.537,2.180573,41.406631
68900,219, ,1,2,13,28,278,6,431594.54,4584399.427,431502.598,4584198.472,2.180488,41.406414
68900,220, ,2,2,13,31,277,6,431601.816,4584423.492,431509.874,4584222.537,2.180573,41.406631
68900,221, ,1,2,13,28,278,6,431591.677,4584402.366,431499.735,4584201.411,2.180454,41.40644
68900,222, ,2,2,13,31,277,6,431593.948,4584431.538,431502.006,4584230.583,2.180477,41.406703
68900,223, ,1,2,13,28,278,6,431583.872,4584410.336,431491.93,4584209.381,2.180359,41.406511
68900,224, ,2,2,13,31,277,6,431588.554,4584437.066,431496.612,4584236.111,2.180412,41.406752
68900,225, ,1,2,13,28,278,6,431577.299,4584417.058,431485.357,4584216.103,2.18028,41.406571
68900,226, ,2,2,13,31,277,6,431584.338,4584441.37,431492.396,4584240.415,2.180361,41.406791
68900,227, ,1,2,13,28,278,6,431570.834,4584423.695,431478.892,4584222.74,2.180202,41.406631
68900,228, ,2,2,13,31,277,6,431580.516,4584445.274,431488.574,4584244.319,2.180315,41.406826
68900,229, ,1,2,13,28,278,6,431565.518,4584429.09,431473.577,4584228.135,2.180138,41.406679
68900,230,B,2,2,13,32,281,6,431557.576,4584482.316,431465.635,4584281.361,2.180037,41.407157
68900,230, ,2,2,13,32,281,6,431539.706,4584486.998,431447.765,4584286.042,2.179822,41.407198
68900,231, ,1,2,13,32,280,6,431498.556,4584497.641,431406.615,4584296.685,2.179329,41.40729
68900,232, ,2,2,13,32,281,6,431539.706,4584486.998,431447.765,4584286.042,2.179822,41.407198
68900,233, ,1,2,13,32,280,6,431498.556,4584497.641,431406.615,4584296.685,2.179329,41.40729
68900,234, ,2,2,13,32,281,6,431522.465,4584504.635,431430.524,4584303.679,2.179614,41.407355
68900,235, ,1,2,13,32,280,6,431498.556,4584497.641,431406.615,4584296.685,2.179329,41.40729
68900,236, ,2,2,13,32,281,6,431522.465,4584504.635,431430.524,4584303.679,2.179614,41.407355
68900,237, ,1,2,13,32,280,6,431498.556,4584497.641,431406.615,4584296.685,2.179329,41.40729
68900,238, ,2,2,13,32,281,6,431522.465,4584504.635,431430.524,4584303.679,2.179614,41.407355
68900,239, ,1,2,13,32,280,6,431498.556,4584497.641,431406.615,4584296.685,2.179329,41.40729
68900,239,B,1,2,25,32,280,6,431482.784,4584513.492,431390.843,4584312.536,2.179138,41.407432
68900,240, ,2,2,13,32,281,6,431501.058,4584526.451,431409.117,4584325.495,2.179355,41.40755
