CODI_CARRER,NUMPOST,LLEPOST,TIPUSNUM,DTE,DIST_POST,SECC_CENS,SECC_EST,BARRI,ED50_COORD_X,ED50_COORD_Y,ETRS89_COORD_X,ETRS89_COORD_Y,LONGITUD,LATITUD
282503,1, ,1,6,23,1,137,28,428973.454,4584511.78,428881.536,4584310.825,2.14912,41.407198
282503,2, ,2,6,23,1,137,28,428970.115,4584544.392,428878.198,4584343.437,2.149076,41.407492
282503,3, ,1,6,23,1,137,28,428960.45,4584532.624,428868.533,4584331.669,2.148962,41.407385
282503,4, ,2,6,23,1,137,28,428970.115,4584544.392,428878.198,4584343.437,2.149076,41.407492
282503,5, ,1,6,23,1,137,28,428956.952,4584549.7,428865.035,4584348.745,2.148918,41.407538
282503,6, ,2,6,23,1,137,28,428970.115,4584544.392,428878.198,4584343.437,2.149076,41.407492
282503,7, ,1,6,23,1,137,28,428955.356,4584560.768,428863.439,4584359.813,2.148897,41.407638
282503,8, ,2,6,23,1,137,28,428970.115,4584544.392,428878.198,4584343.437,2.149076,41.407492
282503,9, ,1,6,23,1,137,28,428963.667,4584575.853,428871.75,4584374.897,2.148995,41.407774
282503,11, ,1,6,23,1,137,28,428963.667,4584575.853,428871.75,4584374.897,2.148995,41.407774
282503,13, ,1,6,23,1,137,28,428963.667,4584575.853,428871.75,4584374.897,2.148995,41.407774
282503,15, ,1,6,23,1,137,28,428963.667,4584575.853,428871.75,4584374.897,2.148995,41.407774
282503,17, ,1,6,23,1,137,28,428963.667,4584575.853,428871.75,4584374.897,2.148995,41.407774
282503,19, ,1,6,23,1,137,28,428963.667,4584575.853,428871.75,4584374.897,2.148995,41.407774
282503,21, ,1,6,23,1,137,28,428963.667,4584575.853,428871.75,4584374.897,2.148995,41.407774
282503,23, ,1,6,23,1,137,28,428963.667,4584575.853,428871.75,4584374.897,2.148995,41.407774
