CODI_CARRER,NUMPOST,LLEPOST,TIPUSNUM,DTE,DIST_POST,SECC_CENS,SECC_EST,BARRI,ED50_COORD_X,ED50_COORD_Y,ETRS89_COORD_X,ETRS89_COORD_Y,LONGITUD,LATITUD
36100,1, ,1,3,28,79,199,17,427008.577,4580985.549,426916.677,4580784.627,2.126039,41.375263
36100,2, ,2,3,28,79,200,17,427017.255,4581002.971,426925.355,4580802.049,2.126141,41.375421
36100,3, ,1,3,28,79,199,17,427001.2,4580980.743,426909.3,4580779.821,2.125952,41.375219
36100,4, ,2,3,28,79,200,17,427006.014,4580995.478,426914.114,4580794.556,2.126008,41.375352
36100,5, ,1,3,28,79,199,17,427001.2,4580980.743,426909.3,4580779.821,2.125952,41.375219
36100,6, ,2,3,28,79,200,17,426994.347,4580987.917,426902.447,4580786.995,2.125869,41.375283
36100,7, ,1,3,28,79,199,17,426992.998,4580975.381,426901.098,4580774.459,2.125854,41.37517
36100,8, ,2,3,28,79,200,17,426982.372,4580980.17,426890.472,4580779.248,2.125727,41.375212
36100,9, ,1,3,28,79,199,17,426987.856,4580972.019,426895.956,4580771.097,2.125793,41.375139
36100,10, ,2,3,28,79,200,17,426982.372,4580980.17,426890.472,4580779.248,2.125727,41.375212
36100,11, ,1,3,28,79,199,17,426980.739,4580967.365,426888.839,4580766.443,2.125709,41.375097
36100,12, ,2,3,28,79,200,17,426971.201,4580972.921,426879.301,4580771.999,2.125594,41.375146
36100,13, ,1,3,28,79,199,17,426980.739,4580967.365,426888.839,4580766.443,2.125709,41.375097
36100,14, ,2,3,28,79,200,17,426971.201,4580972.921,426879.301,4580771.999,2.125594,41.375146
36100,15, ,1,3,28,79,199,17,426974.15,4580963.056,426882.25,4580762.134,2.125631,41.375057
36100,16, ,2,3,28,79,200,17,426959.89,4580965.542,426867.99,4580764.62,2.12546,41.375078
36100,17, ,1,3,28,79,199,17,426968.102,4580959.101,426876.202,4580758.179,2.125559,41.375021
36100,18, ,2,3,28,79,200,17,426952.679,4580960.843,426860.779,4580759.921,2.125374,41.375035
36100,19, ,1,3,28,79,199,17,426963.001,4580955.766,426871.101,4580754.845,2.125498,41.374991
36100,20, ,2,3,28,79,200,17,426947.806,4580957.677,426855.906,4580756.756,2.125316,41.375007
36100,21, ,1,3,28,79,199,17,426957.87,4580952.414,426865.97,4580751.493,2.125437,41.37496
36100,22, ,2,3,28,79,200,17,426942.504,4580954.231,426850.604,4580753.31,2.125253,41.374975
36100,23, ,1,3,28,79,199,17,426952.678,4580949.02,426860.778,4580748.099,2.125376,41.374929
36100,24, ,2,3,28,79,200,17,426937.647,4580951.074,426845.747,4580750.153,2.125196,41.374946
36100,25, ,1,3,28,79,199,17,426946.425,4580944.931,426854.525,4580744.01,2.125301,41.374892
36100,26, ,2,3,28,79,200,17,426932.744,4580947.886,426840.844,4580746.965,2.125137,41.374917
36100,27, ,1,3,28,79,199,17,426940.421,4580941.006,426848.521,4580740.085,2.12523,41.374856
36100,28, ,2,3,28,79,200,17,426927.686,4580944.599,426835.786,4580743.678,2.125077,41.374887
36100,29, ,1,3,28,79,199,17,426940.421,4580941.006,426848.521,4580740.085,2.12523,41.374856
36100,30, ,2,3,28,79,200,17,426913.818,4580935.511,426821.918,4580734.59,2.124912,41.374804
36100,31, ,1,3,28,79,199,17,426932.644,4580935.921,426840.744,4580735,2.125138,41.374809
36100,32, ,2,3,28,79,200,17,426913.818,4580935.511,426821.918,4580734.59,2.124912,41.374804
36100,33, ,1,3,28,79,199,17,426925.174,4580931.038,426833.274,4580730.117,2.125049,41.374765
36100,34, ,2,3,28,79,200,17,426913.818,4580935.511,426821.918,4580734.59,2.124912,41.374804
