NUM_LLETRA_POST;ETRS89_COORD_X;ETRS89_COORD_Y;NUM_OFICIAL
1;431795.335;4582361.727;1
2;431803.853;4582384.385;2
3;431786.729;4582370.668;3
4;431803.853;4582384.385;4
5;431774.815;4582383.043;5
6;431803.853;4582384.385;6
7;431760.422;4582397.782;7
8;431803.853;4582384.385;8
9;431751.727;4582406.538;9
9B;431744.418;4582414.014;9B
9C;431739.431;4582416.067;9C
10;431781.242;4582407.563;10
11;431681.312;4582478.872;11
12;431781.242;4582407.563;12
13;431681.312;4582478.872;13
14;431781.242;4582407.563;14
15;431681.312;4582478.872;15
16;431764.628;4582424.598;16
17;431681.312;4582478.872;17
18;431720.924;4582469.814;18
19;431681.312;4582478.872;19
20;431720.924;4582469.814;20
21;431681.312;4582478.872;21
22;431720.924;4582469.814;22
23;431681.312;4582478.872;23
24;431717.020;4582473.737;24
25;431594.620;4582568.189;25
26;431705.306;4582485.710;26
26I;431722.265;4582508.890;26I
27;431594.620;4582568.189;27
28;431705.306;4582485.710;28
28I;431722.265;4582508.890;28I
29;431594.620;4582568.189;29
30;431705.306;4582485.710;30
30I;431722.265;4582508.890;30I
31;431594.620;4582568.189;31
32;431681.313;4582510.140;32
33;431594.620;4582568.189;33
34;431681.313;4582510.140;34
35;431594.620;4582568.189;35
36;431681.313;4582510.140;36
37;431594.620;4582568.189;37
38;431608.035;4582585.408;38
39;431527.875;4582636.411;39
40;431608.035;4582585.408;40
41;431527.875;4582636.411;41
42;431608.035;4582585.408;42
43;431520.306;4582644.094;43
44;431608.035;4582585.408;44
45;431508.031;4582656.700;45
46;431608.035;4582585.408;46
47;431508.031;4582656.700;47
48;431608.035;4582585.408;48
49;431488.330;4582676.930;49
50;431608.035;4582585.408;50
51;431488.330;4582676.930;51
52;431608.035;4582585.408;52
52X;431562.657;4582644.883;52X
53;431475.843;4582689.769;53
54;431520.149;4582676.012;54
55;431475.843;4582689.769;55
56;431520.149;4582676.012;56
57;431405.475;4582762.046;57
58;431520.149;4582676.012;58
59;431405.475;4582762.046;59
60;431520.149;4582676.012;60
61;431405.475;4582762.046;61
62;431510.529;4582686.007;62
63;431405.475;4582762.046;63
64;431510.529;4582686.007;64
65;431405.475;4582762.046;65
66;431510.529;4582686.007;66
67;431405.475;4582762.046;67
68;431510.529;4582686.007;68
69;431405.475;4582762.046;69
70;431495.107;4582701.452;70
71;431405.475;4582762.046;71
72;431490.035;4582706.629;72
73;431405.475;4582762.046;73
74;431456.085;4582743.595;74
75;431405.475;4582762.046;75
76;431456.085;4582743.595;76
77;431405.475;4582762.046;77
78;431428.808;4582769.472;78
79;431405.475;4582762.046;79
80;431428.808;4582769.472;80
81;431340.392;4582828.626;81
82;431428.808;4582769.472;82
83;431340.392;4582828.626;83
84;431428.808;4582769.472;84
85;431327.262;4582842.159;85
86;431428.808;4582769.472;86
87;431318.632;4582851.058;87
88;431405.378;4582793.490;88
89;431309.993;4582859.955;89
90;431398.544;4582800.486;90
91;431302.006;4582868.189;91
92;431360.088;4582839.468;92
93;431293.230;4582877.237;93
94;431352.708;4582847.067;94
95;431293.230;4582877.237;95
96;431343.128;4582856.925;96
97;431293.230;4582877.237;97
98;431332.752;4582867.611;98
99;431252.172;4582910.301;99
100;431322.836;4582877.808;100
101;431230.467;4582941.748;101
102;431314.702;4582886.189;102
103;431230.467;4582941.748;103
104;431314.702;4582886.189;104
105;431198.077;4582974.878;105
106;431305.542;4582895.605;106
107;431189.560;4582980.556;107
