CODI_CARRER,NUMPOST,LLEPOST,TIPUSNUM,DTE,DIST_POST,SECC_CENS,SECC_EST,BARRI,ED50_COORD_X,ED50_COORD_Y,ETRS89_COORD_X,ETRS89_COORD_Y,LONGITUD,LATITUD
701523,1, ,1,3,39,25,61,12,429735.066,4576041.735,429643.139,4575840.858,2.159213,41.330979
701523,2, ,2,3,39,25,61,12,429741.303,4576062.873,429649.376,4575861.996,2.159285,41.33117
701523,3, ,1,3,39,25,61,12,429735.066,4576041.735,429643.139,4575840.858,2.159213,41.330979
701523,4, ,2,3,39,25,61,12,429741.303,4576062.873,429649.376,4575861.996,2.159285,41.33117
701523,5, ,1,3,39,25,61,12,429735.066,4576041.735,429643.139,4575840.858,2.159213,41.330979
701523,6, ,2,3,39,25,61,12,429741.303,4576062.873,429649.376,4575861.996,2.159285,41.33117
701523,7, ,1,3,39,25,61,12,429735.066,4576041.735,429643.139,4575840.858,2.159213,41.330979
701523,8, ,2,3,39,25,61,12,429741.303,4576062.873,429649.376,4575861.996,2.159285,41.33117
701523,9, ,1,3,39,25,61,12,429735.066,4576041.735,429643.139,4575840.858,2.159213,41.330979
701523,10, ,2,3,39,25,61,12,429741.303,4576062.873,429649.376,4575861.996,2.159285,41.33117
701523,11, ,1,3,39,25,61,12,429735.066,4576041.735,429643.139,4575840.858,2.159213,41.330979
701523,12, ,2,3,39,25,61,12,429529.426,4576135.233,429437.501,4575934.356,2.156745,41.331803
701523,13, ,1,3,39,25,61,12,429523.308,4576114.268,429431.383,4575913.391,2.156675,41.331614
701523,14, ,2,3,39,25,61,12,429529.426,4576135.233,429437.501,4575934.356,2.156745,41.331803
701523,15, ,1,3,39,25,61,12,429523.308,4576114.268,429431.383,4575913.391,2.156675,41.331614
701523,16, ,2,3,39,25,61,12,429529.426,4576135.233,429437.501,4575934.356,2.156745,41.331803
701523,17, ,1,3,39,25,61,12,429523.308,4576114.268,429431.383,4575913.391,2.156675,41.331614
701523,18, ,2,3,39,25,61,12,429529.426,4576135.233,429437.501,4575934.356,2.156745,41.331803
701523,19, ,1,3,39,25,61,12,429523.308,4576114.268,429431.383,4575913.391,2.156675,41.331614
701523,20, ,2,3,39,25,61,12,429529.426,4576135.233,429437.501,4575934.356,2.156745,41.331803
701523,21, ,1,3,39,25,61,12,429523.308,4576114.268,429431.383,4575913.391,2.156675,41.331614
