CODI_CARRER,NUMPOST,LLEPOST,TIPUSNUM,DTE,DIST_POST,SECC_CENS,SECC_EST,BARRI,ED50_COORD_X,ED50_COORD_Y,ETRS89_COORD_X,ETRS89_COORD_Y,LONGITUD,LATITUD
122904,1, ,1,1,2,28,72,2,431048.419,4581526.058,430956.481,4581325.13,2.174283,41.380488
122904,2, ,2,1,2,29,73,2,431052.336,4581514.694,430960.398,4581313.766,2.174331,41.380386
122904,3, ,1,1,2,28,72,2,431054.006,4581531.958,430962.068,4581331.03,2.174349,41.380542
122904,4, ,2,1,2,29,73,2,431061.141,4581523.694,430969.203,4581322.766,2.174435,41.380468
122904,5, ,1,1,2,28,72,2,431059.34,4581537.511,430967.402,4581336.583,2.174412,41.380592
122904,6, ,2,1,2,29,73,2,431067.868,4581530.48,430975.93,4581329.552,2.174515,41.380529
122904,7, ,1,1,2,28,72,2,431068.903,4581547.472,430976.965,4581346.544,2.174525,41.380683
122904,8, ,2,1,2,29,73,2,431073.227,4581536.069,430981.289,4581335.141,2.174578,41.38058
122904,9, ,1,1,2,28,72,2,431074.732,4581553.605,430982.794,4581352.677,2.174594,41.380738
122904,10, ,2,1,2,29,73,2,431082.624,4581545.838,430990.686,4581344.91,2.174689,41.380669
122904,11, ,1,1,2,28,72,2,431077.6,4581556.59,430985.662,4581355.662,2.174628,41.380765
122904,12, ,2,1,2,29,73,2,431093.286,4581557.002,431001.348,4581356.074,2.174816,41.380771
122904,13, ,1,1,2,28,72,2,431086.936,4581566.359,430994.998,4581365.431,2.174739,41.380854
122904,14, ,2,1,2,29,74,2,431107.828,4581571.978,431015.89,4581371.05,2.174988,41.380907
122904,15, ,1,1,2,28,72,2,431095.98,4581575.632,431004.042,4581374.704,2.174846,41.380939
122904,16, ,2,1,2,29,74,2,431117.603,4581582.216,431025.665,4581381.288,2.175104,41.381
122904,17, ,1,1,2,28,72,2,431104.08,4581583.911,431012.142,4581382.983,2.174942,41.381014
122904,18, ,2,1,2,29,74,2,431124.431,4581589.297,431032.493,4581388.368,2.175184,41.381064
122904,19, ,1,1,2,28,72,2,431109.024,4581589.132,431017.086,4581388.203,2.175,41.381061
122904,20, ,2,1,2,29,74,2,431132.445,4581597.694,431040.507,4581396.765,2.175279,41.38114
122904,21, ,1,1,2,28,72,2,431116.008,4581596.33,431024.07,4581395.401,2.175083,41.381127
122904,22, ,2,1,2,29,74,2,431136.242,4581601.652,431044.304,4581400.723,2.175324,41.381176
122904,23, ,1,1,2,28,72,2,431125.712,4581607.141,431033.774,4581406.212,2.175198,41.381225
122904,24, ,2,1,2,29,74,2,431142.536,4581608.333,431050.598,4581407.404,2.175399,41.381237
122904,25, ,1,1,2,28,72,2,431133.064,4581614.581,431041.126,4581413.652,2.175285,41.381293
122904,26, ,2,1,2,29,74,2,431142.536,4581608.333,431050.598,4581407.404,2.175399,41.381237
122904,27, ,1,1,2,28,72,2,431139.5,4581621.324,431047.562,4581420.395,2.175361,41.381354
122904,28, ,2,1,2,29,74,2,431154.138,4581619.862,431062.2,4581418.933,2.175536,41.381342
122904,29, ,1,1,2,28,72,2,431143.535,4581625.532,431051.597,4581424.603,2.175409,41.381392
122904,30,B,2,1,2,29,74,2,431179.447,4581646.563,431087.508,4581445.634,2.175836,41.381585
122904,30, ,2,1,2,29,74,2,431167.913,4581634.621,431075.974,4581433.692,2.175699,41.381476
122904,31, ,1,1,2,28,72,2,431149.848,4581632.033,431057.91,4581431.104,2.175483,41.381451
122904,32, ,2,1,2,27,74,2,431193.954,4581661.72,431102.015,4581460.791,2.176007,41.381722
122904,33, ,1,1,2,28,72,2,431161.381,4581643.351,431069.442,4581442.422,2.17562,41.381554
122904,34, ,2,1,2,27,74,2,431205.411,4581673.654,431113.472,4581472.725,2.176143,41.381831
122904,35,B,1,1,2,28,72,2,431172.434,4581655.542,431080.495,4581454.613,2.175751,41.381665
122904,35, ,1,1,2,28,72,2,431167.959,4581650.612,431076.02,4581449.683,2.175698,41.38162
122904,36, ,2,1,2,27,74,2,431216.621,4581685.354,431124.682,4581484.425,2.176276,41.381937
122904,37, ,1,1,2,25,69,2,431181.533,4581664.953,431089.594,4581464.024,2.175859,41.38175
122904,38, ,2,1,2,27,74,2,431223.692,4581692.738,431131.753,4581491.808,2.17636,41.382004
122904,39, ,1,1,2,25,69,2,431185.786,4581669.27,431093.847,4581468.341,2.175909,41.38179
