NUM_LLETRA_POST;ETRS89_COORD_X;ETRS89_COORD_Y;NUM_OFICIAL
1;429526.817;4576550.715;1
2;429538.271;4576547.305;2
3;429526.817;4576550.715;3
4;429538.271;4576547.305;4
5;429526.817;4576550.715;5
6;429538.271;4576547.305;6
7;429526.817;4576550.715;7
8;429538.271;4576547.305;8
9;429526.817;4576550.715;9
10;429538.271;4576547.305;10
11;429526.817;4576550.715;11
12;429779.512;4576595.972;12
13;429714.172;4576632.046;13
14;429779.512;4576595.972;14
15;429714.172;4576632.046;15
16;429779.512;4576595.972;16
17;429714.172;4576632.046;17
18;429779.512;4576595.972;18
20;429779.512;4576595.972;20
