NUM_LLETRA_POST;ETRS89_COORD_X;ETRS89_COORD_Y;NUM_OFICIAL
1;425209.138;4583066.782;1
2;425196.612;4583030.650;2
3;425209.138;4583066.782;3
4;425215.174;4583048.164;4
5;425248.981;4583111.588;5
5U;425234.574;4583090.854;5U
6;425244.570;4583076.014;6
6B;425265.732;4583108.270;6B
7;425248.981;4583111.588;7
8;425277.347;4583137.135;8
9;425248.981;4583111.588;9
10;425315.750;4583142.574;10
11;425319.986;4583156.059;11
12;425346.416;4583152.247;12
13;425319.986;4583156.059;13
14;425381.703;4583165.166;14
15;425319.986;4583156.059;15
16;425425.077;4583181.630;16
17;425319.986;4583156.059;17
18;425397.203;4583171.077;18
19;425319.986;4583156.059;19
21;425406.187;4583188.043;21
23;425433.408;4583198.376;23
