NUM_LLETRA_POST;ETRS89_COORD_X;ETRS89_COORD_Y;NUM_OFICIAL
1;432141.557;4585941.023;1
1B;432144.703;4585937.686;1B
2;432146.886;4585944.185;2
2B;432150.776;4585940.550;2B
3;432137.679;4585944.912;3
4;432143.648;4585947.628;4
5;432133.931;4585948.276;5
6;432139.821;4585951.505;6
7;432130.455;4585952.140;7
8;432136.297;4585955.114;8
9;432126.421;4585956.140;9
10;432132.641;4585958.558;10
11;432123.772;4585958.442;11
12;432129.215;4585962.114;12
13;432120.093;4585962.304;13
14;432125.561;4585965.598;14
15;432116.213;4585966.288;15
16;432121.861;4585969.300;16
17;432112.099;4585970.588;17
18;432118.472;4585972.780;18
19;432107.553;4585975.058;19
20;432111.891;4585979.492;20
21;432105.197;4585980.435;21
22;432106.827;4585982.362;22
