CODI_CARRER,NUMPOST,LLEPOST,TIPUSNUM,DTE,DIST_POST,SECC_CENS,SECC_EST,BARRI,ED50_COORD_X,ED50_COORD_Y,ETRS89_COORD_X,ETRS89_COORD_Y,LONGITUD,LATITUD
142402,1,C,1,3,14,57,103,16,428346.218,4580660.467,428254.305,4580459.548,2.142072,41.372456
142402,1,B,1,3,14,57,103,16,428332.751,4580649.182,428240.838,4580448.263,2.141912,41.372353
142402,1, ,1,3,14,57,103,16,428338.279,4580654.369,428246.366,4580453.45,2.141978,41.3724
142402,2, ,2,3,14,57,134,16,428325.151,4580664.762,428233.238,4580463.843,2.14182,41.372492
142402,3, ,1,3,14,57,103,16,428327.115,4580643.313,428235.202,4580442.394,2.141846,41.372299
142402,4, ,2,3,14,57,134,16,428314.037,4580655.158,428222.124,4580454.239,2.141688,41.372405
142402,5, ,1,3,14,57,103,16,428319.664,4580637.82,428227.751,4580436.901,2.141757,41.372249
142402,6, ,2,3,14,57,134,16,428314.037,4580655.158,428222.124,4580454.239,2.141688,41.372405
142402,7, ,1,3,14,57,103,16,428311.343,4580632.011,428219.43,4580431.092,2.141659,41.372196
142402,8, ,2,3,14,57,134,16,428301.462,4580644.36,428209.55,4580443.441,2.141539,41.372307
142402,9, ,1,3,14,57,103,16,428304.474,4580626.318,428212.562,4580425.399,2.141577,41.372144
142402,10, ,2,3,14,57,134,16,428292.414,4580637.31,428200.502,4580436.391,2.141432,41.372242
142402,11, ,1,3,14,58,103,16,428286.896,4580610.95,428194.984,4580410.031,2.141369,41.372004
142402,12, ,2,3,14,57,134,16,428292.414,4580637.31,428200.502,4580436.391,2.141432,41.372242
142402,13, ,1,3,14,58,103,16,428286.896,4580610.95,428194.984,4580410.031,2.141369,41.372004
142402,14, ,2,3,14,57,134,16,428292.414,4580637.31,428200.502,4580436.391,2.141432,41.372242
142402,15, ,1,3,14,58,103,16,428286.896,4580610.95,428194.984,4580410.031,2.141369,41.372004
142402,16, ,2,3,14,57,134,16,428292.414,4580637.31,428200.502,4580436.391,2.141432,41.372242
142402,17, ,1,3,14,58,103,16,428286.896,4580610.95,428194.984,4580410.031,2.141369,41.372004
142402,18, ,2,3,14,57,134,16,428277.28,4580625.958,428185.368,4580425.039,2.141252,41.372139
142402,19, ,1,3,14,58,103,16,428276.104,4580602.401,428184.192,4580401.482,2.141241,41.371926
142402,20, ,2,3,14,57,134,16,428277.28,4580625.958,428185.368,4580425.039,2.141252,41.372139
142402,21, ,1,3,14,58,103,16,428257.99,4580587.283,428166.078,4580386.365,2.141026,41.371789
142402,22, ,2,3,14,57,134,16,428272.696,4580621.737,428180.784,4580420.818,2.141198,41.3721
142402,23, ,1,3,14,58,103,16,428257.99,4580587.283,428166.078,4580386.365,2.141026,41.371789
142402,24, ,2,3,14,57,134,16,428264.72,4580614.847,428172.808,4580413.928,2.141103,41.372037
