CODI_CARRER,NUMPOST,LLEPOST,TIPUSNUM,DTE,DIST_POST,SECC_CENS,SECC_EST,BARRI,ED50_COORD_X,ED50_COORD_Y,ETRS89_COORD_X,ETRS89_COORD_Y,LONGITUD,LATITUD
168202,1, ,1,6,25,81,47,32,430233.564,4584323.764,430141.635,4584122.81,2.164216,41.405615
168202,2, ,2,6,25,77,46,32,430232.231,4584353.57,430140.302,4584152.616,2.164196,41.405884
168202,3, ,1,6,25,81,47,32,430233.564,4584323.764,430141.635,4584122.81,2.164216,41.405615
168202,4, ,2,6,25,77,46,32,430232.231,4584353.57,430140.302,4584152.616,2.164196,41.405884
168202,5, ,1,6,25,81,47,32,430219.552,4584343.885,430127.623,4584142.931,2.164046,41.405795
168202,6, ,2,6,25,81,48,32,430209.724,4584388.756,430117.795,4584187.802,2.163923,41.406199
168202,7, ,1,6,25,81,47,32,430219.552,4584343.885,430127.623,4584142.931,2.164046,41.405795
168202,8, ,2,6,25,81,48,32,430205.582,4584389.8,430113.653,4584188.846,2.163873,41.406208
168202,9, ,1,6,25,81,47,32,430203.896,4584366.36,430111.967,4584165.406,2.163856,41.405996
168202,10, ,2,6,25,81,48,32,430179.644,4584395.408,430087.715,4584194.454,2.163563,41.406256
168202,11, ,1,6,25,81,47,32,430203.896,4584366.36,430111.967,4584165.406,2.163856,41.405996
168202,12, ,2,6,25,81,48,32,430179.644,4584395.408,430087.715,4584194.454,2.163563,41.406256
168202,13, ,1,6,25,81,47,32,430176.009,4584379.77,430084.08,4584178.816,2.163521,41.406115
168202,14, ,2,6,25,81,48,32,430179.644,4584395.408,430087.715,4584194.454,2.163563,41.406256
168202,15, ,1,6,25,81,47,32,430176.009,4584379.77,430084.08,4584178.816,2.163521,41.406115
168202,17, ,1,6,25,81,47,32,430176.009,4584379.77,430084.08,4584178.816,2.163521,41.406115
