CODI_CARRER,NUMPOST,LLEPOST,TIPUSNUM,DTE,DIST_POST,SECC_CENS,SECC_EST,BARRI,ED50_COORD_X,ED50_COORD_Y,ETRS89_COORD_X,ETRS89_COORD_Y,LONGITUD,LATITUD
154650,1, ,1,10,19,86,87,70,434361.894,4585646.146,434269.927,4585445.179,2.213458,41.417874
154650,2, ,2,10,19,85,85,70,434375.348,4585603.404,434283.381,4585402.437,2.213624,41.41749
154650,3, ,1,10,19,86,87,70,434361.894,4585646.146,434269.927,4585445.179,2.213458,41.417874
154650,4, ,2,10,19,85,85,70,434397.323,4585624.91,434305.356,4585423.943,2.213885,41.417685
154650,5, ,1,10,19,86,87,70,434361.894,4585646.146,434269.927,4585445.179,2.213458,41.417874
154650,6, ,2,10,19,85,85,70,434419.727,4585647.171,434327.76,4585446.204,2.21415,41.417888
154650,7, ,1,10,19,86,87,70,434361.894,4585646.146,434269.927,4585445.179,2.213458,41.417874
154650,8, ,2,10,19,85,85,70,434447.185,4585673.88,434355.217,4585472.913,2.214476,41.418131
154650,9, ,1,10,19,86,87,70,434361.894,4585646.146,434269.927,4585445.179,2.213458,41.417874
154650,10, ,2,10,19,85,85,70,434447.185,4585673.88,434355.217,4585472.913,2.214476,41.418131
154650,11, ,1,10,19,86,87,70,434441.876,4585678.288,434349.908,4585477.321,2.214412,41.41817
154650,12, ,2,10,19,85,85,70,434447.185,4585673.88,434355.217,4585472.913,2.214476,41.418131
154650,13, ,1,10,19,86,87,70,434441.876,4585678.288,434349.908,4585477.321,2.214412,41.41817
154650,14, ,2,10,19,85,85,70,434447.185,4585673.88,434355.217,4585472.913,2.214476,41.418131
154650,15, ,1,10,19,86,87,70,434441.876,4585678.288,434349.908,4585477.321,2.214412,41.41817
154650,16, ,2,10,19,85,85,70,434447.185,4585673.88,434355.217,4585472.913,2.214476,41.418131
154650,17, ,1,10,19,86,86,70,434469.085,4585751.726,434377.117,4585550.758,2.214729,41.418833
154650,18, ,2,10,19,85,85,70,434447.185,4585673.88,434355.217,4585472.913,2.214476,41.418131
154650,19, ,1,10,19,86,86,70,434469.085,4585751.726,434377.117,4585550.758,2.214729,41.418833
154650,20, ,2,10,19,85,85,70,434447.185,4585673.88,434355.217,4585472.913,2.214476,41.418131
154650,21, ,1,10,19,86,86,70,434469.085,4585751.726,434377.117,4585550.758,2.214729,41.418833
154650,22, ,2,10,19,85,85,70,434447.185,4585673.88,434355.217,4585472.913,2.214476,41.418131
154650,23, ,1,10,19,86,86,70,434469.085,4585751.726,434377.117,4585550.758,2.214729,41.418833
154650,24, ,2,10,19,85,85,70,434474.414,4585700.824,434382.446,4585499.856,2.214799,41.418375
154650,25, ,1,10,19,86,86,70,434469.085,4585751.726,434377.117,4585550.758,2.214729,41.418833
154650,26, ,2,10,19,85,85,70,434496.408,4585722.448,434404.44,4585521.48,2.21506,41.418572
154650,28, ,2,10,19,85,85,70,434518.636,4585744.249,434426.668,4585543.281,2.215323,41.41877
154650,30, ,2,10,19,86,86,70,434508.441,4585743.901,434416.473,4585542.933,2.215201,41.418766
