NUM_LLETRA_POST;ETRS89_COORD_X;ETRS89_COORD_Y;NUM_OFICIAL
1;427543.879;4583714.468;1
1B;427511.043;4583695.832;1B
2;427615.497;4583742.617;2
3;427543.879;4583714.468;3
4;427615.497;4583742.617;4
5;427560.080;4583723.735;5
6;427615.497;4583742.617;6
7;427580.147;4583735.141;7
8;427615.497;4583742.617;8
9;427608.275;4583755.172;9
10;427615.497;4583742.617;10
11;427622.644;4583767.313;11
12;427615.497;4583742.617;12
13;427632.172;4583774.784;13
13I;427627.260;4583785.537;13I
14;427628.831;4583753.726;14
15;427649.028;4583788.870;15
16;427642.193;4583764.860;16
17;427649.028;4583788.870;17
18;427642.193;4583764.860;18
20;427657.547;4583777.654;20
