NUM_LLETRA_POST;ETRS89_COORD_X;ETRS89_COORD_Y;NUM_OFICIAL
1;432370.162;4586897.648;1
1B;432370.162;4586897.648;1B
2;432376.642;4586889.887;2
3;432374.765;4586899.133;3
4;432380.914;4586891.177;4
5;432382.925;4586901.831;5
6;432384.558;4586892.355;6
7;432387.518;4586903.207;7
8;432388.140;4586893.445;8
9;432391.486;4586904.464;9
10;432392.218;4586894.741;10
10B;432396.767;4586896.103;10B
11;432395.102;4586905.567;11
12;432402.835;4586898.241;12
13;432399.221;4586906.945;13
14;432402.835;4586898.241;14
15;432405.102;4586908.773;15
15B;432405.102;4586908.773;15B
16;432409.999;4586902.303;16
17;432411.341;4586910.701;17
18;432414.462;4586901.665;18
18U;432414.022;4586904.183;18U
19;432416.483;4586912.395;19
19B;432420.998;4586913.581;19B
20;432420.684;4586905.913;20
21;432427.142;4586915.465;21
21B;432427.142;4586915.465;21B
22;432429.179;4586906.163;22
23;432427.142;4586915.465;23
23B;432427.142;4586915.465;23B
24;432429.179;4586906.163;24
25;432432.982;4586917.110;25
26;432429.179;4586906.163;26
27;432436.723;4586918.227;27
28;432438.836;4586910.762;28
29;432445.790;4586920.886;29
30;432444.467;4586912.439;30
30B;432455.929;4586915.273;30B
31;432456.565;4586924.118;31
32;432475.494;4586920.547;32
32B;432479.819;4586921.288;32B
33;432475.006;4586928.520;33
34;432486.066;4586922.261;34
35;432485.893;4586930.116;35
36;432486.066;4586922.261;36
37;432485.893;4586930.116;37
38;432493.247;4586923.259;38
39;432501.799;4586932.426;39
40;432498.557;4586924.006;40
41;432501.799;4586932.426;41
42;432504.033;4586924.869;42
43;432501.799;4586932.426;43
44;432509.063;4586925.630;44
45;432501.799;4586932.426;45
46;432514.191;4586926.284;46
47;432510.507;4586933.980;47
48;432519.212;4586927.231;48
49;432516.237;4586934.643;49
50;432524.381;4586927.875;50
51;432521.425;4586935.451;51
52;432552.183;4586931.923;52
53;432549.379;4586939.564;53
54;432552.183;4586931.923;54
55;432557.771;4586940.870;55
56;432552.183;4586931.923;56
57;432562.891;4586941.498;57
58;432552.183;4586931.923;58
59;432572.571;4586943.020;59
60;432552.183;4586931.923;60
61;432638.064;4586952.589;61
62;432552.183;4586931.923;62
63;432638.064;4586952.589;63
64;432591.353;4586937.610;64
65;432648.038;4586954.035;65
66;432602.727;4586939.359;66
67;432662.425;4586956.409;67
68;432607.591;4586940.282;68
69;432662.425;4586956.409;69
70;432630.227;4586943.511;70
72;432647.173;4586946.097;72
74;432651.375;4586946.735;74
76;432656.155;4586947.387;76
78;432660.366;4586948.084;78
80;432672.055;4586949.799;80
82;432672.055;4586949.799;82
