NUM_LLETRA_POST;ETRS89_COORD_X;ETRS89_COORD_Y;NUM_OFICIAL
1;429384.305;4585744.000;1
2;429393.945;4585741.592;2
3;429387.166;4585750.947;3
4;429393.945;4585741.592;4
5;429389.008;4585755.404;5
6;429401.477;4585760.696;6
7;429391.887;4585762.377;7
8;429401.477;4585760.696;8
9;429394.045;4585767.593;9
10;429409.348;4585780.637;10
11;429396.418;4585773.312;11
12;429409.348;4585780.637;12
13;429398.898;4585779.281;13
14;429413.165;4585790.317;14
15;429401.150;4585784.687;15
17;429403.265;4585789.766;17
19;429406.266;4585796.961;19
