CODI_CARRER,NUMPOST,LLEPOST,TIPUSNUM,DTE,DIST_POST,SECC_CENS,SECC_EST,BARRI,ED50_COORD_X,ED50_COORD_Y,ETRS89_COORD_X,ETRS89_COORD_Y,LONGITUD,LATITUD
50202,1, ,1,5,6,73,31,26,428841.344,4583644.6,428749.427,4583443.653,2.147641,41.399376
50202,2, ,2,5,6,73,31,26,428845.772,4583654.955,428753.855,4583454.008,2.147693,41.39947
50202,3, ,1,5,6,73,31,26,428841.344,4583644.6,428749.427,4583443.653,2.147641,41.399376
50202,4, ,2,5,6,73,31,26,428845.772,4583654.955,428753.855,4583454.008,2.147693,41.39947
50202,5, ,1,5,6,73,31,26,428838.216,4583651.746,428746.299,4583450.799,2.147603,41.39944
50202,6, ,2,5,6,73,31,26,428845.772,4583654.955,428753.855,4583454.008,2.147693,41.39947
50202,7, ,1,5,6,73,31,26,428833.037,4583657.676,428741.121,4583456.729,2.14754,41.399493
50202,8, ,2,5,6,73,31,26,428845.772,4583654.955,428753.855,4583454.008,2.147693,41.39947
50202,9, ,1,5,6,73,31,26,428826.618,4583664.486,428734.702,4583463.539,2.147463,41.399554
50202,10, ,2,5,6,73,31,26,428845.772,4583654.955,428753.855,4583454.008,2.147693,41.39947
50202,11, ,1,5,6,73,31,26,428816.779,4583671.686,428724.863,4583470.739,2.147344,41.399618
50202,12, ,2,5,6,73,31,26,428828.479,4583674.421,428736.563,4583473.474,2.147484,41.399644
50202,13, ,1,5,6,73,31,26,428816.779,4583671.686,428724.863,4583470.739,2.147344,41.399618
50202,14, ,2,5,6,73,31,26,428828.479,4583674.421,428736.563,4583473.474,2.147484,41.399644
50202,15, ,1,5,6,73,31,26,428808.322,4583684.954,428716.406,4583484.007,2.147241,41.399737
50202,16, ,2,5,6,73,31,26,428828.479,4583674.421,428736.563,4583473.474,2.147484,41.399644
50202,17, ,1,5,6,73,31,26,428800.173,4583691.19,428708.257,4583490.243,2.147143,41.399792
50202,18, ,2,5,6,73,31,26,428822.838,4583680.45,428730.922,4583479.503,2.147416,41.399698
50202,19, ,1,5,6,73,31,26,428792.148,4583699.092,428700.232,4583498.145,2.147046,41.399863
50202,20, ,2,5,6,73,31,26,428815.918,4583688.261,428724.002,4583487.314,2.147332,41.399767
50202,21, ,1,5,6,73,31,26,428789.558,4583705.556,428697.642,4583504.609,2.147015,41.399921
50202,22, ,2,5,6,73,31,26,428812.078,4583692.588,428720.162,4583491.641,2.147285,41.399806
50202,23, ,1,5,6,73,28,26,428768.876,4583725.666,428676.96,4583524.718,2.146765,41.4001
50202,24, ,2,5,6,73,31,26,428808.856,4583696.21,428716.94,4583495.263,2.147246,41.399838
50202,25, ,1,5,6,73,28,26,428755.206,4583743.67,428663.29,4583542.722,2.146599,41.400261
50202,26, ,2,5,6,73,31,26,428804.686,4583700.724,428712.77,4583499.777,2.147196,41.399879
50202,27, ,1,5,6,73,28,26,428746.442,4583750.474,428654.526,4583549.526,2.146494,41.400321
50202,28, ,2,5,6,73,31,26,428800.988,4583704.906,428709.072,4583503.959,2.147151,41.399916
50202,29, ,1,5,6,73,28,26,428739.95,4583757.884,428648.034,4583556.936,2.146415,41.400388
50202,30, ,2,5,6,73,31,26,428793.359,4583713.423,428701.443,4583512.475,2.147059,41.399992
50202,31, ,1,5,6,73,28,26,428735.596,4583765.71,428643.68,4583564.762,2.146362,41.400458
50202,32, ,2,5,6,73,27,26,428783.707,4583723.278,428691.791,4583522.33,2.146942,41.40008
50202,33, ,1,5,6,73,28,26,428729.612,4583772.516,428637.697,4583571.568,2.14629,41.400518
50202,34, ,2,5,6,73,27,26,428783.707,4583723.278,428691.791,4583522.33,2.146942,41.40008
50202,35, ,1,5,6,73,28,26,428722.024,4583777.218,428630.109,4583576.27,2.146198,41.40056
50202,35,E,1,5,6,73,28,26,428724.148,4583778.766,428632.233,4583577.818,2.146224,41.400574
50202,36, ,2,5,6,73,27,26,428774.848,4583733.268,428682.932,4583532.32,2.146835,41.400169
50202,37, ,1,5,6,75,55,26,428691.418,4583811.86,428599.503,4583610.912,2.145828,41.400869
50202,38, ,2,5,6,73,27,26,428774.848,4583733.268,428682.932,4583532.32,2.146835,41.400169
50202,39, ,1,5,6,75,55,26,428666.039,4583839.938,428574.124,4583638.989,2.145521,41.40112
50202,40, ,2,5,6,73,27,26,428756.683,4583753.41,428664.767,4583552.462,2.146616,41.400349
50202,41, ,1,5,6,75,55,26,428666.039,4583839.938,428574.124,4583638.989,2.145521,41.40112
50202,42, ,2,5,6,73,27,26,428756.683,4583753.41,428664.767,4583552.462,2.146616,41.400349
50202,43, ,1,5,6,75,55,26,428640.643,4583868.194,428548.728,4583667.245,2.145214,41.401372
50202,44, ,2,5,6,73,27,26,428756.683,4583753.41,428664.767,4583552.462,2.146616,41.400349
50202,45, ,1,5,6,75,55,26,428640.643,4583868.194,428548.728,4583667.245,2.145214,41.401372
50202,46, ,2,5,6,73,27,26,428756.683,4583753.41,428664.767,4583552.462,2.146616,41.400349
50202,47, ,1,5,6,79,57,26,428614.224,4583896.784,428522.31,4583695.835,2.144895,41.401627
