NUM_LLETRA_POST;ETRS89_COORD_X;ETRS89_COORD_Y;NUM_OFICIAL
1;430790.786;4580811.204;1
2;430782.379;4580812.288;2
3;430786.392;4580798.345;3
4;430778.744;4580801.810;4
5;430783.192;4580789.015;5
6;430776.526;4580794.830;6
7;430780.307;4580780.638;7
8;430774.103;4580788.466;8
9;430777.361;4580772.120;9
9B;430774.539;4580764.003;9B
10;430770.301;4580777.578;10
11;430764.463;4580735.593;11
12;430766.462;4580766.644;12
13;430764.463;4580735.593;13
14;430760.116;4580748.261;14
16;430754.061;4580730.977;16
