NUM_LLETRA_POST;ETRS89_COORD_X;ETRS89_COORD_Y;NUM_OFICIAL
1;427932.497;4580526.131;1
2;427933.795;4580537.337;2
3;427932.497;4580526.131;3
4;427921.926;4580532.816;4
5;427917.385;4580520.283;5
6;427915.978;4580530.408;6
7;427910.480;4580517.929;7
8;427910.408;4580527.847;8
9;427902.939;4580515.101;9
10;427910.408;4580527.847;10
11;427890.535;4580510.312;11
12;427902.561;4580525.393;12
13;427868.629;4580502.251;13
14;427889.348;4580520.729;14
15;427868.629;4580502.251;15
16;427867.126;4580512.212;16
17;427853.377;4580496.692;17
18;427867.126;4580512.212;18
19;427853.377;4580496.692;19
20;427848.345;4580505.312;20
21;427853.377;4580496.692;21
23;427843.263;4580498.226;23
