NUM_LLETRA_POST;ETRS89_COORD_X;ETRS89_COORD_Y;NUM_OFICIAL
1;429860.965;4582231.147;1
2;429860.965;4582231.147;2
3;429854.539;4582230.827;3
4;429854.539;4582230.827;4
5;429842.928;4582230.932;5
6;429842.928;4582230.932;6
7;429830.281;4582231.217;7
8;429830.281;4582231.217;8
9;429830.281;4582231.217;9
10;429818.358;4582231.549;10
11;429807.897;4582231.433;11
12;429807.897;4582231.433;12
13;429777.835;4582270.286;13
14;429777.835;4582270.286;14
15;429777.835;4582270.286;15
16;429777.835;4582270.286;16
17;429777.835;4582270.286;17
18;429777.939;4582303.874;18
19;429777.939;4582303.874;19
20;429777.939;4582303.874;20
21;429777.939;4582303.874;21
22;429777.939;4582303.874;22
23;429805.372;4582339.694;23
24;429805.372;4582339.694;24
25;429819.714;4582339.518;25
26;429828.527;4582339.426;26
27;429837.249;4582339.454;27
28;429846.364;4582339.249;28
29;429856.232;4582339.353;29
30;429885.942;4582305.185;30
31;429885.942;4582305.185;31
32;429885.942;4582305.185;32
33;429885.942;4582305.185;33
34;429885.812;4582284.285;34
35;429885.657;4582272.429;35
36;429885.525;4582259.441;36
37;429885.279;4582249.598;37
