NUM_LLETRA_POST;ETRS89_COORD_X;ETRS89_COORD_Y;NUM_OFICIAL
1;432326.494;4587692.855;1
2;432340.206;4587683.426;2
3;432326.494;4587692.855;3
4;432340.206;4587683.426;4
5;432323.191;4587722.551;5
6;432336.196;4587719.984;6
7;432319.840;4587753.895;7
8;432331.313;4587762.332;8
9;432319.840;4587753.895;9
10;432331.313;4587762.332;10
11;432319.840;4587753.895;11
12X;432336.376;4587834.210;12X
13;432319.245;4587829.077;13
14X;432337.149;4587830.538;14X
15;432319.245;4587829.077;15
16X;432337.970;4587825.610;16X
17;432319.245;4587829.077;17
18X;432336.956;4587821.068;18X
19;432319.245;4587829.077;19
20X;432337.342;4587815.463;20X
21;432319.245;4587829.077;21
22X;432339.783;4587809.453;22X
23;432319.245;4587829.077;23
24X;432335.023;4587802.515;24X
25;432319.245;4587829.077;25
26X;432337.592;4587882.925;26X
27;432322.493;4587883.437;27
28;432337.919;4587903.847;28
29;432293.261;4587855.080;29
29X;432324.023;4587925.994;29X
30;432336.368;4587965.863;30
31;432324.059;4587936.864;31
32;432336.368;4587965.863;32
33;432324.059;4587936.864;33
34;432336.368;4587965.863;34
35;432322.537;4587959.099;35
36;432336.368;4587965.863;36
37;432322.537;4587959.099;37
38;432336.368;4587965.863;38
39;432322.537;4587959.099;39
40;432336.368;4587965.863;40
41;432322.537;4587959.099;41
42;432336.368;4587965.863;42
43;432321.435;4587994.776;43
44;432336.368;4587965.863;44
45;432321.435;4587994.776;45
46;432336.368;4587965.863;46
47;432321.435;4587994.776;47
