NUM_LLETRA_POST;ETRS89_COORD_X;ETRS89_COORD_Y;NUM_OFICIAL
1;430680.767;4581118.384;1
2;430680.767;4581118.384;2
3;430680.767;4581118.384;3
4;430680.767;4581118.384;4
5;430680.767;4581118.384;5
6;430680.767;4581118.384;6
7;430680.767;4581118.384;7
8;430680.767;4581118.384;8
9;430680.767;4581118.384;9
9X;430656.471;4581130.390;9X
10;430632.224;4581132.049;10
11;430632.224;4581132.049;11
12;430634.053;4581154.848;12
12X;430639.008;4581148.007;12X
13;430655.756;4581167.440;13
13X;430659.126;4581159.904;13X
14;430655.756;4581167.440;14
15;430655.756;4581167.440;15
16;430679.639;4581155.442;16
17;430679.639;4581155.442;17
