NUM_LLETRA_POST;ETRS89_COORD_X;ETRS89_COORD_Y;NUM_OFICIAL
1;431921.294;4586132.223;1
2;431940.360;4586146.417;2
3;431921.294;4586132.223;3
4;431917.370;4586149.872;4
5;431921.294;4586132.223;5
6;431885.247;4586154.504;6
7;431873.347;4586139.046;7
8;431874.213;4586155.870;8
9;431873.347;4586139.046;9
10;431860.481;4586157.985;10
11;431849.300;4586142.627;11
11I;431861.312;4586113.376;11I
12;431843.423;4586160.422;12
13;431849.300;4586142.627;13
14;431800.271;4586166.971;14
15;431805.183;4586148.654;15
16;431785.758;4586169.033;16
17;431793.546;4586150.624;17
18;431770.872;4586181.043;18
18X;431751.956;4586173.969;18X
19;431782.019;4586152.205;19
20;431753.650;4586183.749;20
20X;431751.956;4586173.969;20X
21;431764.476;4586154.819;21
22;431753.650;4586183.749;22
22X;431751.956;4586173.969;22X
23;431734.057;4586159.219;23
24;431737.313;4586185.988;24
24X;431751.956;4586173.969;24X
25;431722.607;4586160.827;25
26;431717.836;4586178.885;26
27;431710.173;4586162.609;27
28;431703.252;4586180.998;28
29;431695.272;4586164.698;29
30;431688.669;4586183.047;30
31;431695.272;4586164.698;31
