NUM_LLETRA_POST;ETRS89_COORD_X;ETRS89_COORD_Y;NUM_OFICIAL
1;427882.047;4586613.337;1
1B;427861.697;4586614.825;1B
2;427869.933;4586633.769;2
3;427856.474;4586625.177;3
3B;427848.800;4586643.724;3B
3V;427870.969;4586623.697;3V
4;427869.933;4586633.769;4
5;427853.754;4586666.739;5
6;427869.933;4586633.769;6
7;427855.276;4586681.810;7
8;427849.597;4586725.567;8
9;427852.013;4586694.330;9
9B;427849.130;4586699.084;9B
10;427849.597;4586725.567;10
11;427845.082;4586705.773;11
12;427849.597;4586725.567;12
13;427838.697;4586715.660;13
13I;427826.840;4586707.232;13I
14;427849.597;4586725.567;14
15;427832.447;4586724.993;15
16;427849.597;4586725.567;16
17;427823.719;4586738.487;17
17U;427816.520;4586749.720;17U
18;427849.597;4586725.567;18
19;427803.933;4586734.824;19
20;427849.597;4586725.567;20
21;427803.933;4586734.824;21
22;427849.597;4586725.567;22
23;427795.986;4586715.058;23
23B;427794.640;4586709.428;23B
24;427849.597;4586725.567;24
25;427791.370;4586703.486;25
25B;427786.842;4586697.302;25B
26;427849.597;4586725.567;26
27;427777.681;4586688.926;27
28;427849.597;4586725.567;28
29;427777.681;4586688.926;29
30;427849.597;4586725.567;30
31;427765.150;4586686.206;31
32;427849.597;4586725.567;32
33;427750.948;4586687.244;33
34;427849.597;4586725.567;34
35;427740.856;4586690.132;35
36;427849.597;4586725.567;36
37;427729.404;4586694.270;37
38;427849.597;4586725.567;38
39;427720.426;4586698.020;39
40;427740.760;4586696.448;40
41;427712.996;4586702.382;41
42;427711.634;4586715.422;42
43;427701.324;4586710.535;43
44;427711.634;4586715.422;44
45;427696.488;4586714.241;45
46;427711.634;4586715.422;46
47;427691.420;4586718.337;47
48;427711.634;4586715.422;48
49;427682.425;4586727.149;49
50;427711.634;4586715.422;50
51;427682.425;4586727.149;51
52;427529.151;4586913.297;52
54;427529.151;4586913.297;54
56;427529.151;4586913.297;56
58;427529.151;4586913.297;58
60;427529.151;4586913.297;60
62;427529.151;4586913.297;62
64;427529.151;4586913.297;64
66;427529.151;4586913.297;66
68;427529.151;4586913.297;68
70;427529.151;4586913.297;70
72;427529.151;4586913.297;72
