NUM_LLETRA_POST;ETRS89_COORD_X;ETRS89_COORD_Y;NUM_OFICIAL
1;428536.036;4582767.093;1
2;428537.423;4582791.696;2
3;428520.019;4582783.670;3
4;428537.423;4582791.696;4
5;428507.470;4582796.961;5
6;428537.423;4582791.696;6
7;428497.567;4582807.448;7
8;428519.023;4582811.248;8
9;428487.531;4582818.100;9
10;428519.023;4582811.248;10
11;428474.425;4582831.897;11
12;428519.023;4582811.248;12
13;428474.425;4582831.897;13
14;428512.020;4582818.295;14
15;428458.970;4582848.208;15
16;428496.052;4582834.806;16
17;428445.657;4582862.266;17
18;428496.052;4582834.806;18
19;428436.245;4582872.197;19
20;428496.052;4582834.806;20
21;428425.273;4582883.783;21
22;428496.052;4582834.806;22
23;428415.398;4582894.211;23
24;428481.911;4582850.014;24
25;428407.262;4582902.774;25
26;428481.911;4582850.014;26
26B;428475.927;4582856.110;26B
27;428382.908;4582928.547;27
28;428465.287;4582867.896;28
29;428371.166;4582940.903;29
30;428442.688;4582891.198;30
31;428359.742;4582952.890;31
32;428442.688;4582891.198;32
33;428339.790;4582973.784;33
34;428442.688;4582891.198;34
35;428339.790;4582973.784;35
36;428422.351;4582912.775;36
37;428339.790;4582973.784;37
38;428422.351;4582912.775;38
39;428301.874;4583015.960;39
40;428396.112;4582940.436;40
41;428289.349;4583031.604;41
42;428396.112;4582940.436;42
43;428289.349;4583031.604;43
44;428383.037;4582954.169;44
45;428289.349;4583031.604;45
46;428375.576;4582962.165;46
47;428274.161;4583050.455;47
48;428355.230;4582983.486;48
49;428274.161;4583050.455;49
50;428340.447;4582999.202;50
51;428261.777;4583065.805;51
52;428314.655;4583028.973;52
53;428261.777;4583065.805;53
54;428305.366;4583040.368;54
55;428249.979;4583080.421;55
56;428303.105;4583043.100;56
57;428249.979;4583080.421;57
58;428291.025;4583058.080;58
59;428240.877;4583091.693;59
60;428267.897;4583086.642;60
61;428233.793;4583100.470;61
62;428267.897;4583086.642;62
63;428224.481;4583112.005;63
64;428256.671;4583100.425;64
65;428224.481;4583112.005;65
66;428248.017;4583111.211;66
67;428211.941;4583127.561;67
68;428235.759;4583126.347;68
69;428211.941;4583127.561;69
70;428235.759;4583126.347;70
71;428200.793;4583141.410;71
72;428202.728;4583167.489;72
73;428190.755;4583153.906;73
74;428202.728;4583167.489;74
75;428190.755;4583153.906;75
76;428202.728;4583167.489;76
77;428178.433;4583169.225;77
78;428202.728;4583167.489;78
79;428178.433;4583169.225;79
80;428202.728;4583167.489;80
81;428127.458;4583231.704;81
82;428202.728;4583167.489;82
83;428127.458;4583231.704;83
84;428152.526;4583229.584;84
85;428104.075;4583259.998;85
86;428141.968;4583242.106;86
88;428141.968;4583242.106;88
90;428129.437;4583257.258;90
