NUM_LLETRA_POST;ETRS89_COORD_X;ETRS89_COORD_Y;NUM_OFICIAL
1;428671.359;4580349.729;1
2;428664.305;4580331.973;2
3;428672.924;4580346.940;3
4;428664.305;4580331.973;4
5;428678.154;4580337.625;5
6;428676.363;4580310.521;6
7;428678.154;4580337.625;7
8;428676.363;4580310.521;8
9;428678.154;4580337.625;9
10;428691.899;4580282.733;10
11;428685.154;4580325.126;11
12;428691.899;4580282.733;12
13;428689.830;4580316.827;13
14;428691.899;4580282.733;14
15;428692.916;4580311.330;15
16;428691.899;4580282.733;16
17;428696.213;4580305.456;17
18;428717.310;4580235.901;18
19;428704.667;4580290.571;19
20;428717.310;4580235.901;20
21;428704.667;4580290.571;21
22;428717.310;4580235.901;22
23;428708.068;4580284.433;23
24;428717.310;4580235.901;24
25;428711.882;4580277.866;25
26;428717.310;4580235.901;26
27;428711.882;4580277.866;27
28;428717.310;4580235.901;28
29;428716.231;4580269.724;29
31;428732.385;4580241.045;31
33;428732.385;4580241.045;33
35;428732.385;4580241.045;35
37;428732.385;4580241.045;37
39;428732.385;4580241.045;39
41;428732.385;4580241.045;41
