NUM_LLETRA_POST;ETRS89_COORD_X;ETRS89_COORD_Y;NUM_OFICIAL
1;433490.678;4587189.350;1
2;433504.181;4587180.248;2
3;433490.678;4587189.350;3
4;433504.181;4587180.248;4
5;433437.836;4587198.342;5
6;433504.181;4587180.248;6
7;433437.836;4587198.342;7
8;433504.181;4587180.248;8
9;433437.836;4587198.342;9
10;433504.181;4587180.248;10
11;433437.836;4587198.342;11
12;433504.181;4587180.248;12
13;433437.836;4587198.342;13
14;433504.181;4587180.248;14
15;433518.939;4587271.129;15
16;433533.115;4587274.046;16
17;433518.939;4587271.129;17
18;433533.115;4587274.046;18
19;433518.939;4587271.129;19
20;433529.025;4587308.897;20
21;433518.939;4587271.129;21
22;433529.025;4587308.897;22
23;433516.011;4587302.068;23
24;433526.929;4587327.158;24
25;433516.011;4587302.068;25
26;433526.929;4587327.158;26
27;433518.449;4587315.690;27
28;433554.463;4587332.763;28
29;433513.303;4587326.019;29
30;433524.522;4587348.335;30
31X;433511.873;4587366.979;31X
32;433523.510;4587356.813;32
33;433483.817;4587402.001;33
34;433522.528;4587363.205;34
35;433483.817;4587402.001;35
36X;433520.407;4587382.374;36X
37;433480.012;4587428.678;37
38;433502.401;4587410.790;38
39;433480.012;4587428.678;39
40;433500.628;4587426.749;40
41;433480.012;4587428.678;41
42;433498.256;4587444.888;42
44;433498.256;4587444.888;44
