NUM_LLETRA_POST;ETRS89_COORD_X;ETRS89_COORD_Y;NUM_OFICIAL
1;424030.482;4586664.864;1
2;424045.546;4586660.582;2
3;424030.482;4586664.864;3
4;423981.303;4586667.450;4
4I;424033.833;4586658.130;4I
5;423940.275;4586642.747;5
6;423981.303;4586667.450;6
7;423940.275;4586642.747;7
8;423981.303;4586667.450;8
9;423940.275;4586642.747;9
10;423941.327;4586633.691;10
11;423940.275;4586642.747;11
12;423941.327;4586633.691;12
13;423882.575;4586590.954;13
13U;423906.887;4586600.383;13U
14;423913.444;4586597.697;14
14B;423922.165;4586612.521;14B
15;423882.575;4586590.954;15
16;423880.410;4586567.542;16
16X;423881.176;4586583.862;16X
17;423848.177;4586595.434;17
18;423880.410;4586567.542;18
18X;423881.176;4586583.862;18X
19;423846.769;4586592.487;19
19I;423804.891;4586600.540;19I
20;423884.974;4586537.861;20
20I;423890.613;4586549.529;20I
21;423845.805;4586588.596;21
21I;423822.775;4586594.814;21I
22;423899.257;4586527.205;22
23;423779.115;4586547.342;23
23I;423832.439;4586571.226;23I
24;423904.472;4586512.209;24
25;423779.115;4586547.342;25
25I;423822.776;4586571.333;25I
26;423908.496;4586480.962;26
31;423901.020;4586477.315;31
33;423907.718;4586446.127;33
35;423907.718;4586446.127;35
