NUM_LLETRA_POST;ETRS89_COORD_X;ETRS89_COORD_Y;NUM_OFICIAL
1;427572.812;4582988.267;1
2;427564.086;4583020.560;2
3;427556.021;4583011.652;3
4;427564.086;4583020.560;4
5;427556.021;4583011.652;5
6;427551.564;4583038.792;6
7;427537.016;4583038.564;7
8;427551.564;4583038.792;8
9;427537.016;4583038.564;9
10;427524.469;4583076.738;10
11;427516.562;4583067.454;11
12;427524.469;4583076.738;12
13;427516.562;4583067.454;13
14;427514.447;4583090.916;14
15;427509.634;4583077.166;15
16;427506.425;4583102.171;16
17;427506.162;4583082.058;17
18;427498.112;4583114.156;18
19;427501.384;4583088.790;19
20;427474.615;4583147.041;20
21;427495.040;4583097.844;21
21S;427496.781;4583095.382;21S
22;427474.615;4583147.041;22
23;427488.276;4583107.157;23
24;427455.170;4583174.121;24
25;427488.276;4583107.157;25
26;427455.170;4583174.121;26
27;427470.384;4583132.663;27
28;427455.170;4583174.121;28
29;427465.274;4583139.831;29
30;427434.165;4583203.715;30
31;427459.041;4583148.575;31
32;427434.165;4583203.715;32
33;427452.924;4583157.153;33
34;427434.165;4583203.715;34
35;427445.941;4583166.865;35
36;427421.751;4583221.325;36
37;427429.725;4583189.275;37
38;427407.915;4583241.140;38
39;427429.725;4583189.275;39
40;427407.915;4583241.140;40
41;427429.725;4583189.275;41
42;427462.439;4583214.852;42
43;427403.197;4583226.844;43
45;427403.197;4583226.844;45
47;427380.338;4583253.816;47
