NUM_LLETRA_POST;ETRS89_COORD_X;ETRS89_COORD_Y;NUM_OFICIAL
1;429938.713;4583496.299;1
2;429929.129;4583494.625;2
3;429951.492;4583484.834;3
4;429933.917;4583490.100;4
5;429968.049;4583470.066;5
6;429942.279;4583482.789;6
7;429968.049;4583470.066;7
8;429971.494;4583453.766;8
8B;429954.831;4583468.399;8B
8I;429962.863;4583431.498;8I
9;429981.339;4583459.106;9
10;429971.494;4583453.766;10
11;429981.339;4583459.106;11
12;430005.822;4583422.840;12
13;430006.419;4583436.232;13
14;430005.822;4583422.840;14
15;430006.419;4583436.232;15
